"","time","t","S","E","I","R"
"59",59,59,5841636.65848539,3225.48782184603,333313.850329822,46018205.0033629
"60",60,60,5826684.57665452,2732.79491613381,283895.656186159,46083067.9722432
"61",61,61,5814009.65533047,2316.74099678774,241749.022860215,46138305.5808125
"62",62,62,5803257.42296485,1965.42662955666,205821.439097823,46185336.7113077
"63",63,63,5794745.23569456,1553.78805468116,174767.484649624,46225314.4916011
"64",64,64,5788011.50625108,1228.2381264258,147950.895313546,46259190.3603089
"65",65,65,5782684.07099993,971.065894194552,124910.614840678,46287815.2482652
"66",66,66,5778471.32706388,767.396542291201,105200.26815995,46311942.0082339
"67",67,67,5775134.93876181,607.417461432074,88407.258669121,46332231.3851076
"68",68,68,5772488.98697774,481.470952883728,74151.1223163695,46349259.419753
"69",69,69,5770386.61203418,382.384997956371,62087.1742457996,46363524.8287221
"70",70,70,5768713.63955766,304.157357398673,51906.3628988744,46375456.8401861
"71",71,71,5767380.88944833,242.210228212826,43335.0193406571,46385422.8809829
"72",72,72,5766319.17793078,192.883284082494,36132.939504097,46393735.9992811
"73",73,73,5765471.51338079,153.947876837487,30093.4351318079,46400662.1036106
"74",74,74,5764792.84449597,123.221169972412,25038.3514775558,46406426.5828565
"75",75,75,5764248.06231512,98.8877725601458,20814.1770574571,46411219.8728549
"76",76,76,5763809.95851538,79.5058824273924,17289.162060117,46415202.3735421
"77",77,77,5763457.35004609,63.976998125986,14350.870164852,46418508.802791
"78",78,78,5763173.22606729,51.5412805646384,11904.1511894028,46421252.0814628
"79",79,79,5762943.73419278,41.623772685762,9868.88887317213,46423526.7531614
"80",80,80,5762758.08789418,33.666188827799,8177.38700465304,46425411.8589124
"81",81,81,5762607.69735262,27.2689348539646,6772.66408351218,46426973.369629
"82",82,82,5762485.84309788,22.0917974143733,5606.8053539311,46428266.2597508
"83",83,83,5762386.87752142,17.9400669000321,4639.87248010141,46429336.3099316
"84",84,84,5762306.46871503,14.5746353523037,3838.34536386567,46430221.6112858
"85",85,85,5762241.0371462,11.8587752718381,3174.28256000785,46430953.8215185
"86",86,86,5762187.66675797,9.6720394737792,2624.41700839878,46431559.2441942
"87",87,87,5762144.16769818,7.8824819014905,2169.24409276022,46432059.7057272
"88",88,88,5762108.65672086,6.43450604922363,1792.60528741668,46432473.3034857
"89",89,89,5762079.64824297,5.25592332866381,1481.05439494865,46432815.0414387
"90",90,90,5762055.9101739,4.300772554669,1223.43689513542,46433097.3521584
"91",91,91,5762036.48763205,3.51872007417273,1010.46254243159,46433330.5311054
"92",92,92,5762020.57023015,2.88357957183157,834.446178877396,46433523.1000114
"93",93,93,5762007.52761043,2.36268879807419,688.999345390872,46433682.1103553
"94",94,94,5761996.8491112,1.93434699845567,568.824643644807,46433813.3918981
"95",95,95,5761988.10495125,1.58387932477159,469.545594502832,46433921.7655749
"96",96,96,5761980.92912664,1.29975262527909,387.55331189994,46434011.2178088
"97",97,97,5761975.04549217,1.06566106339815,319.844411104084,46434085.0444356
"98",98,98,5761970.22280199,0.873472367260965,263.935279256979,46434145.9684463
"99",99,99,5761966.27406724,0.715155751734823,217.772062604754,46434196.2387144
"100",100,100,5761963.04003388,0.585692197007386,179.661293271729,46434237.7129806
"101",101,101,5761960.39183559,0.479579722291201,148.202124029251,46434271.9264606
"102",102,102,5761958.22579544,0.392244409622521,122.235381583116,46434300.1465785
"103",103,103,5761956.45201205,0.321198690165204,100.806466657403,46434323.4203225
"104",104,104,5761954.9985483,0.263186899221025,83.1256491279941,46434342.6126155
"105",105,105,5761953.808757,0.215434992395079,68.5382789831901,46434358.4375289
"106",106,106,5761952.83203039,0.176850380955458,56.5064385646587,46434371.4846805
"107",107,107,5761952.03073665,0.145081573270269,46.5833047791751,46434382.2408769
"108",108,108,5761951.37427368,0.118853901905619,38.3992424567555,46434391.1076299
"109",109,109,5761950.83719901,0.0972368585922773,31.6494893567861,46434398.4160747
"110",110,110,5761950.39706568,0.0796804989140461,26.0837866376848,46434404.4394671
"111",111,111,5761950.03592846,0.0653771827363906,21.4953189170995,46434409.4033754
"112",112,112,5761949.7398681,0.0535968811839017,17.7126720925518,46434413.4938629
"113",113,113,5761949.49684415,0.0439940173234541,14.5947813817988,46434416.8643804
"114",114,114,5761949.29709859,0.0361577376913626,12.0252252751602,46434419.6415183
"115",115,115,5761949.13292889,0.0297188001340145,9.90769465626202,46434421.9296576
"116",116,116,5761948.99788697,0.0244438607276235,8.16282795211367,46434423.8148411
"117",117,117,5761948.88672418,0.0201221116115854,6.72515073023759,46434425.3680029
"118",118,118,5761948.79519794,0.0165685538969871,5.54062824165292,46434426.6476052
"119",119,119,5761948.71979501,0.0136500575537311,4.56472988165793,46434427.701825
"120",120,120,5761948.65755296,0.0112699931572927,3.76080588843349,46434428.5703711
"121",121,121,5761948.60605844,0.00932213912374886,3.09864133197438,46434429.285978
"122",122,122,5761948.56348243,0.00770906250013522,2.5531994360385,46434429.875609
"123",123,123,5761948.528398,0.00635154743053907,2.1037947908311,46434430.3614556
"124",124,124,5761948.49945518,0.00524008708552913,1.73351626027178,46434430.7617884
"125",125,125,5761948.47557155,0.00432378482313445,1.42843924742108,46434431.0916653
"126",126,126,5761948.4558895,0.00356304513310429,1.17705816458286,46434431.3634892
"127",127,127,5761948.43967727,0.00293514043304704,0.969911182647832,46434431.5874763
"128",128,128,5761948.42630875,0.00242044015978061,0.799225202329781,46434431.7720455
"129",129,129,5761948.41528671,0.00199558263584544,0.658582948124935,46434431.9241347
"130",130,130,5761948.40620106,0.00164473578769331,0.542693591789859,46434432.0494605
"131",131,131,5761948.39872372,0.00135337351531916,0.447190246319655,46434432.1527326
"132",132,132,5761948.39256554,0.00111482845259753,0.368489588697677,46434432.2378299
"133",133,133,5761948.38749601,0.000917845013132467,0.303636785478438,46434432.3079493
"134",134,134,5761948.38331732,0.000757104896325347,0.250197128683147,46434432.3657283
"135",135,135,5761948.3798729,0.000623619224482714,0.206164222369392,46434432.4133391
"136",136,136,5761948.37702915,0.000514894264883662,0.169884241648598,46434432.4525716
"137",137,137,5761948.37467885,0.000425390604301367,0.139992495732046,46434432.4849032
"138",138,138,5761948.37274221,0.000350595827298218,0.115362914122487,46434432.5115442
"139",139,139,5761948.37114565,0.000288329906184764,0.0950682347185504,46434432.5334977
"140",140,140,5761948.36982829,0.0002385151328986,0.0783436667574021,46434432.5515894
"141",141,141,5761948.3687415,0.000197020831625476,0.0645630731380011,46434432.5664983
"142",142,142,5761948.36784547,0.000162059155444961,0.0532073112858279,46434432.5787851
"143",143,143,5761948.36710865,0.000133267045643983,0.0438473451928901,46434432.5889106
"144",144,144,5761948.36650123,0.00011003639576123,0.0361340499561549,46434432.5972546
"145",145,145,5761948.36600097,9.06451377997988e-05,0.0297773539275279,46434432.6041309
"146",146,146,5761948.36559029,7.43523733416359e-05,0.0245377336845238,46434432.6097975
"147",147,147,5761948.36525313,6.12123034352752e-05,0.0202189350891871,46434432.6144666
"148",148,148,5761948.36497718,4.99591092605681e-05,0.0166587618622642,46434432.618314
"149",149,149,5761948.3647507,4.10323232821777e-05,0.0137249758523318,46434432.6214832
"150",150,150,5761948.36456549,3.35277054232651e-05,0.0113063305728103,46434432.6240945
"151",151,151,5761948.36441365,2.74623423465176e-05,0.00931307879360577,46434432.6262457
"152",152,152,5761948.36428926,2.20064510025109e-05,0.00767070202031017,46434432.6280179
"153",153,153,5761948.36418723,1.86708338666287e-05,0.00631666668573215,46434432.6294773
"154",154,154,5761948.36410356,1.51418023783435e-05,0.00520223145276579,46434432.630679
"155",155,155,5761948.36403484,1.21884437335353e-05,0.00428466953048017,46434432.6316682
"156",156,156,5761948.36397849,1.01825781056326e-05,0.00352808421171301,46434432.6324831
"157",157,157,5761948.36393214,8.38993023022279e-06,0.00290510706222167,46434432.6331542
"158",158,158,5761948.36389413,6.31278596320163e-06,0.00239286435014363,46434432.6337066
"159",159,159,5761948.36386295,5.49565728092667e-06,0.00197064021641638,46434432.6341608
"160",160,160,5761948.36383737,4.94498589081949e-06,0.00162236415088985,46434432.6345352
"161",161,161,5761948.36381633,3.65961679603277e-06,0.00133623082744542,46434432.6348437
"162",162,162,5761948.36379902,2.92798006639401e-06,0.00110036669692236,46434432.6350976
"163",163,163,5761948.36378478,2.48305399573196e-06,0.000906159270501024,46434432.6353065
"164",164,164,5761948.36377305,2.12101692203661e-06,0.000746299429644951,46434432.6354784
"165",165,165,5761948.36376341,1.76467363951393e-06,0.00061471567925278,46434432.63562
"166",166,166,5761948.36375548,1.44335187104263e-06,0.000506272713776964,46434432.6357367
"167",167,167,5761948.36374896,1.17550186959626e-06,0.000416770261632696,46434432.635833
"168",168,168,5761948.3637436,9.66763906837384e-07,0.000342936305685852,46434432.6359124
"169",169,169,5761948.36373922,7.96147432993613e-07,0.000282175119680698,46434432.6359777
"170",170,170,5761948.36373564,6.482012375993e-07,0.000232227882595626,46434432.6360314
"171",171,171,5761948.3637327,5.28409778812775e-07,0.000191135920038818,46434432.6360755
"172",172,172,5761948.36373029,4.35679998391644e-07,0.000157295952989943,46434432.6361119
"173",173,173,5761948.36372832,3.57996301386946e-07,0.000129430212851029,46434432.6361418
"174",174,174,5761948.3637267,2.91450183825528e-07,0.000106494546255907,46434432.6361664
"175",175,175,5761948.36372537,2.38803699023995e-07,8.76190925311535e-05,46434432.6361867
"176",176,176,5761948.36372429,1.9704273554246e-07,7.20860382600396e-05,46434432.6362033
"177",177,177,5761948.3637234,1.61545140502062e-07,5.93059721391081e-05,46434432.636217
"178",178,178,5761948.36372266,1.32890428382707e-07,4.87914022359443e-05,46434432.6362283
"179",179,179,5761948.36372205,1.09866021706044e-07,4.01421087030858e-05,46434432.6362376
"180",180,180,5761948.36372155,9.11247369650748e-08,3.30287693074857e-05,46434432.6362452
"181",181,181,5761948.36372114,7.55493499218021e-08,2.71792501115763e-05,46434432.6362515
"182",182,182,5761948.36372079,6.25071676326252e-08,2.23694891324822e-05,46434432.6362567
"183",183,183,5761948.36372051,5.18784426914041e-08,1.84137700546432e-05,46434432.6362609
"184",184,184,5761948.36372027,4.30836161351793e-08,1.51588714292712e-05,46434432.6362644
"185",185,185,5761948.36372007,3.55165022212408e-08,1.24798849881599e-05,46434432.6362673
"186",186,186,5761948.36371991,2.92837435731071e-08,1.02746950162111e-05,46434432.6362697
"187",187,187,5761948.36371978,2.44266978705081e-08,8.4596333643164e-06,46434432.6362716
"188",188,188,5761948.36371966,2.02396910476652e-08,6.9660781276483e-06,46434432.6362732
"189",189,189,5761948.36371957,1.64980036502796e-08,5.73689560788047e-06,46434432.6362746
"190",190,190,5761948.3637195,1.37249098264065e-08,4.72449717731062e-06,46434432.6362757
"191",191,191,5761948.36371943,1.163213024036e-08,3.89076338590592e-06,46434432.6362766
"192",192,192,5761948.36371938,9.41935068974741e-09,3.20487071840873e-06,46434432.6362773
"193",193,193,5761948.36371934,7.50514198514227e-09,2.64024608843348e-06,46434432.6362779
"194",194,194,5761948.3637193,6.35511024032455e-09,2.17487173162627e-06,46434432.6362784
"195",195,195,5761948.36371927,5.37846109391544e-09,1.79157154942081e-06,46434432.6362788
"196",196,196,5761948.36371925,4.42032110389507e-09,1.4759209584216e-06,46434432.6362792
"197",197,197,5761948.36371923,3.61181862336359e-09,1.21586178150425e-06,46434432.6362794
"198",198,198,5761948.36371921,2.98493028250767e-09,1.00157925356803e-06,46434432.6362797
"199",199,199,5761948.3637192,2.46314630786155e-09,8.2505306431207e-07,46434432.6362799
"200",200,200,5761948.36371919,2.02143641658463e-09,6.79636922540502e-07,46434432.63628
"201",201,201,5761948.36371918,1.65901820674293e-09,5.59833545603198e-07,46434432.6362802
"202",202,202,5761948.36371917,1.36188860705588e-09,4.61122786252642e-07,46434432.6362803
"203",203,203,5761948.36371916,1.11766478934906e-09,3.79792962343589e-07,46434432.6362804
"204",204,204,5761948.36371916,9.16185120654174e-10,3.12787734204889e-07,46434432.6362804
"205",205,205,5761948.36371915,7.52237059276523e-10,2.57590158820184e-07,46434432.6362805
"206",206,206,5761948.36371915,6.17877588430954e-10,2.12124637732057e-07,46434432.6362805
"207",207,207,5761948.36371915,5.06734325318846e-10,1.74672313425391e-07,46434432.6362806
"208",208,208,5761948.36371914,4.14832926729141e-10,1.43830801572976e-07,46434432.6362806
"209",209,209,5761948.36371914,3.39999868030988e-10,1.18437326325615e-07,46434432.6362806
"210",210,210,5761948.36371914,2.78496611258999e-10,9.75430599687934e-08,46434432.6362807
"211",211,211,5761948.36371914,2.28222697227508e-10,8.02942722006658e-08,46434432.6362807
"212",212,212,5761948.36371914,1.8813931486249e-10,6.61534211377809e-08,46434432.6362807
"213",213,213,5761948.36371914,1.61458969859932e-10,5.44078076038816e-08,46434432.6362807
"214",214,214,5761948.36371914,1.381366987924e-10,4.42300357679938e-08,46434432.6362807
"215",215,215,5761948.36371913,1.19531484169774e-10,3.70875264240611e-08,46434432.6362807
"216",216,216,5761948.36371913,1.03593513890346e-10,3.1112347144418e-08,46434432.6362807
"217",217,217,5761948.36371913,8.94707593673227e-11,2.61104500216835e-08,46434432.6362807
"218",218,218,5761948.36371913,7.70062579497722e-11,2.19206430970417e-08,46434432.6362807
"219",219,219,5761948.36371913,6.61201668955846e-11,1.84092363129707e-08,46434432.6362808
"220",220,220,5761948.36371913,5.66620454748341e-11,1.54650008606918e-08,46434432.6362808
"221",221,221,5761948.36371913,4.84936781506356e-11,1.29953414837617e-08,46434432.6362808
"222",222,222,5761948.36371913,4.14461748170732e-11,1.09229522278716e-08,46434432.6362808
"223",223,223,5761948.36371913,3.53743790442969e-11,9.18327469436371e-09,46434432.6362808
"224",224,224,5761948.36371913,3.01192321405566e-11,7.72223947634102e-09,46434432.6362808
"225",225,225,5761948.36371913,2.5621724727427e-11,6.49486895008453e-09,46434432.6362808
"226",226,226,5761948.36371913,2.17868692872804e-11,5.46355861380964e-09,46434432.6362808
"227",227,227,5761948.36371913,1.84983767821791e-11,4.59671589121602e-09,46434432.6362808
"228",228,228,5761948.36371913,1.56876024605922e-11,3.86791917226152e-09,46434432.6362808
"229",229,229,5761948.36371913,1.32839236880705e-11,3.25501678720644e-09,46434432.6362808
"230",230,230,5761948.36371913,1.12367283017037e-11,2.73947251485925e-09,46434432.6362808
