"","np","time","value","q025","q25","q50","q75","q975","E"
"90",1,266,1.98235004800207e-12,1.97751862628104e-12,1.9787264817113e-12,1.99220837309583e-12,2.00206669818959e-12,2.00206669818959e-12,2.25652682831277e-12
"91",1,273,3.55478884175864e-13,3.54588401826547e-13,3.54811022413876e-13,3.69049409087996e-13,3.82619934000128e-13,3.82619934000128e-13,4.11003194021239e-13
"92",1,280,6.92706187007362e-14,6.92228528187747e-14,6.92326123323929e-14,6.92618908732477e-14,6.92618908732477e-14,6.92706187007362e-14,7.77770489804123e-14
"93",1,287,1.07349728539481e-14,1.07349728539481e-14,1.10304967200145e-14,1.22035704363589e-14,1.33766441527032e-14,1.33766441527032e-14,1.46765071632489e-14
"94",1,294,2.12542546971085e-15,2.12542546971085e-15,2.30062301166385e-15,2.30062301166385e-15,2.3050567526867e-15,2.30653466636098e-15,2.73252382591164e-15
"95",1,301,5.29609044336646e-16,5.24484759703553e-16,5.24484759703553e-16,5.270469020201e-16,5.6930648748936e-16,5.82538968540265e-16,6.10208389139288e-16
"96",1,308,1.91609771453008e-16,1.71601212112527e-16,1.71601212112527e-16,1.72974881177291e-16,1.74348550242056e-16,1.91609771453008e-16,1.96554502038547e-16
"97",1,315,7.78451204144182e-17,7.57344731285381e-17,7.62621349500081e-17,7.99538387151098e-17,8.20625570158014e-17,8.20625570158014e-17,8.6088814648515e-17
"98",1,322,3.62326350296356e-17,3.54560811792933e-17,3.55458583998961e-17,3.58151900617046e-17,3.58151900617046e-17,3.62326350296356e-17,3.63634422510326e-17
"99",1,329,1.92559804930138e-17,1.77572764612167e-17,1.77572764612167e-17,1.80410085103092e-17,1.83247405594016e-17,1.92559804930138e-17,2.05710479947139e-17
"100",1,336,9.28687998704411e-18,8.29329793220563e-18,8.54169344591525e-18,9.47218002478457e-18,9.65748006252502e-18,9.65748006252502e-18,9.45709731646009e-18
"101",1,343,4.55688215986328e-18,4.55688215986328e-18,4.60085590840721e-18,4.74856451641504e-18,4.89627312442287e-18,4.89627312442287e-18,5.09914079040015e-18
"102",1,350,2.02062894212872e-18,1.9686038310925e-18,1.9686038310925e-18,1.99461638661061e-18,2.19007932045325e-18,2.24656277989477e-18,1.86003729409697e-18
"103",1,357,1.13831591456842e-18,1.08538576454449e-18,1.08538576454449e-18,1.11185083955645e-18,1.18734505497415e-18,1.20368810177606e-18,1.29790161488728e-18
"104",1,364,9.14792584504924e-19,5.67247531960729e-19,6.54133795096778e-19,9.64627062785158e-19,1.01446154106539e-18,1.01446154106539e-18,6.66910575578102e-19
"105",2,7,645.401184082031,581.388122558594,618.9189453125,618.9189453125,638.780624389648,645.401184082031,556.147083549694
"106",2,14,612.493957519531,595.127502441406,612.493957519531,633.84912109375,655.204284667969,655.204284667969,650.415391667536
"107",2,21,800.400573730469,800.400573730469,805.488327026367,822.014495849609,823.277404785156,823.277404785156,795.05585001151
"108",2,28,1797.80749511719,1717.32934570312,1797.80749511719,1967.63690185547,2137.46630859375,2137.46630859375,1675.15068880155
"109",2,35,2970.42749023438,2605.09448242188,2970.42749023438,3116.32543945312,3262.22338867188,3262.22338867188,2680.4274676858
"110",2,42,4698.046875,3691.89306640625,3691.89306640625,4092.55932617188,4646.84155273438,4698.046875,3868.05661304279
"111",2,49,7706.58447265625,7706.58447265625,7717.19775390625,7874.07348632812,7999.109375,7999.109375,6714.69917163104
"112",2,56,14531.8408203125,14531.8408203125,14977.2202148438,16313.3583984375,16313.3583984375,17561.62109375,14507.19532492
"113",2,63,59090.70703125,58163.2109375,58163.2109375,58263.76953125,58909.1123046875,59090.70703125,52417.3462525157
"114",2,70,375353.78125,305210.625,352423.65625,352423.65625,369621.25,375353.78125,273125.254765821
"115",2,77,1786932.125,1667533.875,1786932.125,1790095.3125,1793258.5,1793258.5,1746826.2889162
"116",2,84,2928078.5,2514289,2928078.5,3052449.625,3176820.75,3176820.75,3026583.6651421
"117",2,91,1595768.5,1432445.5,1432445.5,1500727.25,1589078.625,1595768.5,1640226.03614903
"118",2,98,579159.4375,579159.4375,579583.84375,609453.71875,638050.375,638050.375,705581.095915273
"119",2,105,155400.78125,155400.78125,158078.66796875,168134.421875,170156.515625,170156.515625,183129.925423753
"120",2,112,44228.4140625,42295.55859375,42295.55859375,43261.986328125,44228.4140625,48537.07421875,49072.2849798647
"121",2,119,15799.15625,15027.26171875,15027.26171875,15413.208984375,15799.15625,16655.193359375,16770.7432877295
"122",2,126,5990.9677734375,5350.4140625,5350.4140625,5591.50170898438,5951.37316894531,5990.9677734375,5417.647136095
"123",2,133,1728.79650878906,1478.32958984375,1657.25061035156,1657.25061035156,1710.91003417969,1728.79650878906,1811.43085510864
"124",2,140,349.834350585938,331.592956542969,349.834350585938,351.549377441406,353.264404296875,353.264404296875,426.538190451308
"125",2,147,47.9256324768066,47.9256324768066,49.0264005661011,52.3287048339844,52.3287048339844,56.2143173217773,60.1524601408751
"126",2,154,5.07234859466553,5.07234859466553,5.08064353466034,5.10552835464478,5.10552835464478,6.33388662338257,6.60634213313002
"127",2,161,0.445894151926041,0.439898729324341,0.439898729324341,0.442896440625191,0.445894151926041,0.460904091596603,0.506342289079967
"128",2,168,0.0438387058675289,0.0389354676008224,0.0426458567380905,0.0426458567380905,0.0435404935851693,0.0438387058675289,0.0454966621947618
"129",2,175,0.0047024036757648,0.00449932226911187,0.00465548038482666,0.00465548038482666,0.00469067285303026,0.0047024036757648,0.00489094449618561
"130",2,182,0.000634749769233167,0.000634749769233167,0.000636087410384789,0.00064840805134736,0.000656715768855065,0.000656715768855065,0.000743227602796017
"131",2,189,0.000117440802569035,0.000114949049020652,0.000114949049020652,0.000116194925794844,0.000117440802569035,0.000125448626931757,0.00014826585596992
"132",2,196,2.02701339730993e-05,1.98729230760364e-05,2.02701339730993e-05,2.07800376301748e-05,2.12899412872503e-05,2.12899412872503e-05,2.62529786751274e-05
"133",2,203,3.73648686036177e-06,3.73648686036177e-06,3.74725857454905e-06,3.9375660207952e-06,4.0955583244795e-06,4.0955583244795e-06,3.89492476454534e-06
"134",2,210,8.13678127542516e-07,8.13678127542516e-07,8.37517319496328e-07,9.09034895357763e-07,9.09034895357763e-07,9.32367981931748e-07,9.58965438882106e-07
"135",2,217,2.62526640426586e-07,2.62526640426586e-07,2.68213717902199e-07,2.8527495032904e-07,2.8527495032904e-07,2.89342494852463e-07,2.90369371131444e-07
"136",2,224,7.5068868454764e-08,7.5068868454764e-08,7.54392086577127e-08,7.7654632946178e-08,7.87590366257973e-08,7.87590366257973e-08,8.06879054355214e-08
"137",2,231,1.47760230717608e-08,1.4647086210573e-08,1.47277141593349e-08,1.47277141593349e-08,1.47639458436544e-08,1.47760230717608e-08,1.7589917243638e-08
"138",2,238,2.38539943353544e-09,2.3027661999464e-09,2.38539943353544e-09,2.45903142293002e-09,2.53266341232461e-09,2.53266341232461e-09,2.75075662250701e-09
"139",2,245,3.92084947842264e-10,3.92084947842264e-10,3.92526483539157e-10,3.93851090629838e-10,3.93851090629838e-10,4.01809141514775e-10,4.66183063049467e-10
"140",2,252,6.51783696459241e-11,6.40031985743583e-11,6.40031985743583e-11,6.45907841101412e-11,6.51783696459241e-11,6.69804281483444e-11,7.4596024321307e-11
"141",2,259,1.09141922929878e-11,1.04808609707741e-11,1.04808609707741e-11,1.05248921557222e-11,1.08278750549085e-11,1.09141922929878e-11,1.26896969063937e-11
"142",2,266,1.97751862628104e-12,1.97751862628104e-12,1.9787264817113e-12,1.99220837309583e-12,2.00206669818959e-12,2.00206669818959e-12,2.25652682831277e-12
"143",2,273,3.54588401826547e-13,3.54588401826547e-13,3.54811022413876e-13,3.69049409087996e-13,3.82619934000128e-13,3.82619934000128e-13,4.11003194021239e-13
"144",2,280,6.92228528187747e-14,6.92228528187747e-14,6.92326123323929e-14,6.92618908732477e-14,6.92618908732477e-14,6.92706187007362e-14,7.77770489804123e-14
"145",2,287,1.10304967200145e-14,1.07349728539481e-14,1.10304967200145e-14,1.22035704363589e-14,1.33766441527032e-14,1.33766441527032e-14,1.46765071632489e-14
"146",2,294,2.30653466636098e-15,2.12542546971085e-15,2.30062301166385e-15,2.30062301166385e-15,2.3050567526867e-15,2.30653466636098e-15,2.73252382591164e-15
"147",2,301,5.82538968540265e-16,5.24484759703553e-16,5.24484759703553e-16,5.270469020201e-16,5.6930648748936e-16,5.82538968540265e-16,6.10208389139288e-16
"148",2,308,1.74348550242056e-16,1.71601212112527e-16,1.71601212112527e-16,1.72974881177291e-16,1.74348550242056e-16,1.91609771453008e-16,1.96554502038547e-16
"149",2,315,7.57344731285381e-17,7.57344731285381e-17,7.62621349500081e-17,7.99538387151098e-17,8.20625570158014e-17,8.20625570158014e-17,8.6088814648515e-17
"150",2,322,3.54560811792933e-17,3.54560811792933e-17,3.55458583998961e-17,3.58151900617046e-17,3.58151900617046e-17,3.62326350296356e-17,3.63634422510326e-17
"151",2,329,1.83247405594016e-17,1.77572764612167e-17,1.77572764612167e-17,1.80410085103092e-17,1.83247405594016e-17,1.92559804930138e-17,2.05710479947139e-17
"152",2,336,8.29329793220563e-18,8.29329793220563e-18,8.54169344591525e-18,9.47218002478457e-18,9.65748006252502e-18,9.65748006252502e-18,9.45709731646009e-18
"153",2,343,4.60085590840721e-18,4.55688215986328e-18,4.60085590840721e-18,4.74856451641504e-18,4.89627312442287e-18,4.89627312442287e-18,5.09914079040015e-18
"154",2,350,2.24656277989477e-18,1.9686038310925e-18,1.9686038310925e-18,1.99461638661061e-18,2.19007932045325e-18,2.24656277989477e-18,1.86003729409697e-18
"155",2,357,1.20368810177606e-18,1.08538576454449e-18,1.08538576454449e-18,1.11185083955645e-18,1.18734505497415e-18,1.20368810177606e-18,1.29790161488728e-18
"156",2,364,5.67247531960729e-19,5.67247531960729e-19,6.54133795096778e-19,9.64627062785158e-19,1.01446154106539e-18,1.01446154106539e-18,6.66910575578102e-19
"157",3,7,645.401184082031,581.388122558594,618.9189453125,618.9189453125,638.780624389648,645.401184082031,556.147083549694
"158",3,14,612.493957519531,595.127502441406,612.493957519531,633.84912109375,655.204284667969,655.204284667969,650.415391667536
"159",3,21,800.400573730469,800.400573730469,805.488327026367,822.014495849609,823.277404785156,823.277404785156,795.05585001151
"160",3,28,1797.80749511719,1717.32934570312,1797.80749511719,1967.63690185547,2137.46630859375,2137.46630859375,1675.15068880155
"161",3,35,2970.42749023438,2605.09448242188,2970.42749023438,3116.32543945312,3262.22338867188,3262.22338867188,2680.4274676858
"162",3,42,4698.046875,3691.89306640625,3691.89306640625,4092.55932617188,4646.84155273438,4698.046875,3868.05661304279
"163",3,49,7706.58447265625,7706.58447265625,7717.19775390625,7874.07348632812,7999.109375,7999.109375,6714.69917163104
"164",3,56,14531.8408203125,14531.8408203125,14977.2202148438,16313.3583984375,16313.3583984375,17561.62109375,14507.19532492
"165",3,63,59090.70703125,58163.2109375,58163.2109375,58263.76953125,58909.1123046875,59090.70703125,52417.3462525157
"166",3,70,375353.78125,305210.625,352423.65625,352423.65625,369621.25,375353.78125,273125.254765821
"167",3,77,1786932.125,1667533.875,1786932.125,1790095.3125,1793258.5,1793258.5,1746826.2889162
"168",3,84,2928078.5,2514289,2928078.5,3052449.625,3176820.75,3176820.75,3026583.6651421
"169",3,91,1595768.5,1432445.5,1432445.5,1500727.25,1589078.625,1595768.5,1640226.03614903
"170",3,98,579159.4375,579159.4375,579583.84375,609453.71875,638050.375,638050.375,705581.095915273
"171",3,105,155400.78125,155400.78125,158078.66796875,168134.421875,170156.515625,170156.515625,183129.925423753
"172",3,112,44228.4140625,42295.55859375,42295.55859375,43261.986328125,44228.4140625,48537.07421875,49072.2849798647
"173",3,119,15799.15625,15027.26171875,15027.26171875,15413.208984375,15799.15625,16655.193359375,16770.7432877295
"174",3,126,5990.9677734375,5350.4140625,5350.4140625,5591.50170898438,5951.37316894531,5990.9677734375,5417.647136095
"175",3,133,1728.79650878906,1478.32958984375,1657.25061035156,1657.25061035156,1710.91003417969,1728.79650878906,1811.43085510864
"176",3,140,349.834350585938,331.592956542969,349.834350585938,351.549377441406,353.264404296875,353.264404296875,426.538190451308
"177",3,147,47.9256324768066,47.9256324768066,49.0264005661011,52.3287048339844,52.3287048339844,56.2143173217773,60.1524601408751
"178",3,154,5.07234859466553,5.07234859466553,5.08064353466034,5.10552835464478,5.10552835464478,6.33388662338257,6.60634213313002
"179",3,161,0.445894151926041,0.439898729324341,0.439898729324341,0.442896440625191,0.445894151926041,0.460904091596603,0.506342289079967
"180",3,168,0.0438387058675289,0.0389354676008224,0.0426458567380905,0.0426458567380905,0.0435404935851693,0.0438387058675289,0.0454966621947618
"181",3,175,0.0047024036757648,0.00449932226911187,0.00465548038482666,0.00465548038482666,0.00469067285303026,0.0047024036757648,0.00489094449618561
"182",3,182,0.000634749769233167,0.000634749769233167,0.000636087410384789,0.00064840805134736,0.000656715768855065,0.000656715768855065,0.000743227602796017
"183",3,189,0.000117440802569035,0.000114949049020652,0.000114949049020652,0.000116194925794844,0.000117440802569035,0.000125448626931757,0.00014826585596992
"184",3,196,2.02701339730993e-05,1.98729230760364e-05,2.02701339730993e-05,2.07800376301748e-05,2.12899412872503e-05,2.12899412872503e-05,2.62529786751274e-05
"185",3,203,3.73648686036177e-06,3.73648686036177e-06,3.74725857454905e-06,3.9375660207952e-06,4.0955583244795e-06,4.0955583244795e-06,3.89492476454534e-06
"186",3,210,8.13678127542516e-07,8.13678127542516e-07,8.37517319496328e-07,9.09034895357763e-07,9.09034895357763e-07,9.32367981931748e-07,9.58965438882106e-07
"187",3,217,2.62526640426586e-07,2.62526640426586e-07,2.68213717902199e-07,2.8527495032904e-07,2.8527495032904e-07,2.89342494852463e-07,2.90369371131444e-07
"188",3,224,7.5068868454764e-08,7.5068868454764e-08,7.54392086577127e-08,7.7654632946178e-08,7.87590366257973e-08,7.87590366257973e-08,8.06879054355214e-08
"189",3,231,1.47760230717608e-08,1.4647086210573e-08,1.47277141593349e-08,1.47277141593349e-08,1.47639458436544e-08,1.47760230717608e-08,1.7589917243638e-08
"190",3,238,2.38539943353544e-09,2.3027661999464e-09,2.38539943353544e-09,2.45903142293002e-09,2.53266341232461e-09,2.53266341232461e-09,2.75075662250701e-09
"191",3,245,3.92084947842264e-10,3.92084947842264e-10,3.92526483539157e-10,3.93851090629838e-10,3.93851090629838e-10,4.01809141514775e-10,4.66183063049467e-10
"192",3,252,6.51783696459241e-11,6.40031985743583e-11,6.40031985743583e-11,6.45907841101412e-11,6.51783696459241e-11,6.69804281483444e-11,7.4596024321307e-11
"193",3,259,1.09141922929878e-11,1.04808609707741e-11,1.04808609707741e-11,1.05248921557222e-11,1.08278750549085e-11,1.09141922929878e-11,1.26896969063937e-11
"194",3,266,1.97751862628104e-12,1.97751862628104e-12,1.9787264817113e-12,1.99220837309583e-12,2.00206669818959e-12,2.00206669818959e-12,2.25652682831277e-12
"195",3,273,3.54588401826547e-13,3.54588401826547e-13,3.54811022413876e-13,3.69049409087996e-13,3.82619934000128e-13,3.82619934000128e-13,4.11003194021239e-13
"196",3,280,6.92228528187747e-14,6.92228528187747e-14,6.92326123323929e-14,6.92618908732477e-14,6.92618908732477e-14,6.92706187007362e-14,7.77770489804123e-14
"197",3,287,1.10304967200145e-14,1.07349728539481e-14,1.10304967200145e-14,1.22035704363589e-14,1.33766441527032e-14,1.33766441527032e-14,1.46765071632489e-14
