"","time","t","S","E","I","R"
"262",262,262,1880751.00830931,1.83902755132444e-06,0.000131434624264087,50315629.9915574
"263",263,263,1880751.00830892,1.6808311758712e-06,0.000116925338239272,50315629.9915725
"264",264,264,1880751.00830857,1.53053553867557e-06,0.000104025619666798,50315629.9915859
"265",265,265,1880751.00830827,1.37751432340711e-06,9.25534279736219e-05,50315629.9915978
"266",266,266,1880751.00830801,1.23359294300548e-06,8.23491695627218e-05,50315629.9916084
"267",267,267,1880751.0083078,1.08232893481529e-06,7.32686056782242e-05,50315629.9916178
"268",268,268,1880751.00830762,9.4802260224114e-07,6.5186794837767e-05,50315629.9916262
"269",269,269,1880751.00830747,8.23315362970115e-07,5.7992478610053e-05,50315629.9916337
"270",270,270,1880751.00830732,7.31756252052719e-07,5.15904834683344e-05,50315629.9916404
"271",271,271,1880751.00830718,6.53651216212313e-07,4.5895936129159e-05,50315629.9916463
"272",272,272,1880751.00830708,5.69238396134472e-07,4.08287043298341e-05,50315629.9916515
"273",273,273,1880751.00830699,4.95393325336404e-07,3.63184913349233e-05,50315629.9916562
"274",274,274,1880751.0083069,4.39771518874053e-07,3.23055642950134e-05,50315629.9916603
"275",275,275,1880751.00830681,3.92457458298216e-07,2.87361848343417e-05,50315629.991664
"276",276,276,1880751.00830674,3.49230513999854e-07,2.55611901620323e-05,50315629.9916673
"277",277,277,1880751.00830668,3.13637449277036e-07,2.27373935470085e-05,50315629.9916703
"278",278,278,1880751.00830662,2.81447631206219e-07,2.02259752451821e-05,50315629.9916729
"279",279,279,1880751.00830656,2.54880978941407e-07,1.79927034883091e-05,50315629.9916752
"280",280,280,1880751.00830651,2.29785614374837e-07,1.60066963334558e-05,50315629.9916772
"281",281,281,1880751.00830646,2.0715376354926e-07,1.42404733037181e-05,50315629.9916791
"282",282,282,1880751.00830642,1.85550994037006e-07,1.26695096669609e-05,50315629.9916807
"283",283,283,1880751.00830639,1.65692192407171e-07,1.1271958647556e-05,50315629.9916822
"284",284,284,1880751.00830636,1.49744075292617e-07,1.00288863464328e-05,50315629.9916835
"285",285,285,1880751.00830633,1.35490470945266e-07,8.92334925879744e-06,50315629.9916846
"286",286,286,1880751.0083063,1.21948724469331e-07,7.94003061654524e-06,50315629.9916856
"287",287,287,1880751.00830628,1.0916082872605e-07,7.06522238447074e-06,50315629.9916865
"288",288,288,1880751.00830625,9.80884727723915e-08,6.28700505518179e-06,50315629.9916873
"289",289,289,1880751.00830624,8.6577183989742e-08,5.59449059737969e-06,50315629.9916881
"290",290,290,1880751.00830622,7.65739087571311e-08,4.97811241983248e-06,50315629.9916887
"291",291,291,1880751.00830621,6.91407748652255e-08,4.42971660732812e-06,50315629.9916893
"292",292,292,1880751.00830619,6.29107829441061e-08,3.94198369552554e-06,50315629.9916898
"293",293,293,1880751.00830618,5.66813107374518e-08,3.50814816568637e-06,50315629.9916902
"294",294,294,1880751.00830617,5.07052120453073e-08,3.12212134638013e-06,50315629.9916906
"295",295,295,1880751.00830616,4.60195454047888e-08,2.7786870267193e-06,50315629.991691
"296",296,296,1880751.00830615,4.2192570925725e-08,2.47323713855696e-06,50315629.9916913
"297",297,297,1880751.00830614,3.88852622839724e-08,2.20160640308065e-06,50315629.9916916
"298",298,298,1880751.00830613,3.58903874317061e-08,1.96006517625911e-06,50315629.9916919
"299",299,299,1880751.00830612,3.29406343819412e-08,1.74521114384347e-06,50315629.9916921
"300",300,300,1880751.00830612,3.08633323818921e-08,1.55416889530677e-06,50315629.9916923
"301",301,301,1880751.00830611,2.85482864530568e-08,1.38428914824681e-06,50315629.9916925
"302",302,302,1880751.0083061,2.58174999178667e-08,1.23310821831294e-06,50315629.9916926
"303",303,303,1880751.0083061,2.30133570253093e-08,1.09846967865494e-06,50315629.9916928
"304",304,304,1880751.00830609,2.03586859795288e-08,9.78522496053669e-07,50315629.9916929
"305",305,305,1880751.00830609,1.77931040889428e-08,8.71619661898798e-07,50315629.991693
"306",306,306,1880751.00830609,1.55392236514461e-08,7.76341981223916e-07,50315629.9916931
"307",307,307,1880751.00830609,1.33323504829392e-08,6.9139405516804e-07,50315629.9916932
"308",308,308,1880751.00830608,1.15122337626118e-08,6.15658314350043e-07,50315629.9916933
"309",309,309,1880751.00830608,1.00467962241555e-08,5.48170044741092e-07,50315629.9916933
"310",310,310,1880751.00830608,8.72087915151574e-09,4.88039145968627e-07,50315629.9916934
"311",311,311,1880751.00830608,7.54795265076107e-09,4.34461262448278e-07,50315629.9916935
"312",312,312,1880751.00830608,6.58734605686941e-09,3.86731428299637e-07,50315629.9916935
"313",313,313,1880751.00830608,5.82960505200878e-09,3.44233252895966e-07,50315629.9916936
"314",314,314,1880751.00830608,5.11849121388137e-09,3.06393975710201e-07,50315629.9916936
"315",315,315,1880751.00830607,4.52506600467959e-09,2.72702882683213e-07,50315629.9916936
"316",316,316,1880751.00830607,4.07777789402899e-09,2.4272159443649e-07,50315629.9916937
"317",317,317,1880751.00830607,3.63634776999919e-09,2.16040928359452e-07,50315629.9916937
"318",318,318,1880751.00830607,3.24419468006008e-09,1.92293757426e-07,50315629.9916937
"319",319,319,1880751.00830607,2.92910294044172e-09,1.71161097490986e-07,50315629.9916937
"320",320,320,1880751.00830607,2.69302816322142e-09,1.52363727654757e-07,50315629.9916938
"321",321,321,1880751.00830607,2.4803733629413e-09,1.35647873215539e-07,50315629.9916938
"322",322,322,1880751.00830607,2.24598375905532e-09,1.20776244250531e-07,50315629.9916938
"323",323,323,1880751.00830607,2.02664449209431e-09,1.07541742485877e-07,50315629.9916938
"324",324,324,1880751.00830607,1.79817042790344e-09,9.57589325083469e-08,50315629.9916938
"325",325,325,1880751.00830607,1.58124670958768e-09,8.52643474562183e-08,50315629.9916938
