"","y.np","y.time","y.value","S.np","S.time","S.value","E.np","E.time","E.value","I.np","I.time","I.value","R.np","R.time","R.value","x.np","x.time","x.value","Z.np","Z.time","Z.value","k.np","k.value","gamma.np","gamma.value","sigma.np","sigma.value","E0.np","E0.value","I0.np","I0.value","R0.np","R0.value","x0.np","x0.value","tau.np","tau.value","clock","e.np","e.time","e.value","loglikelihood.np","loglikelihood.value","logprior.np","logprior.value"
"589",15,238,1058.54348914339,15,238,29674430,15,238,2410.19213867188,15,238,1514.69787597656,15,238,22518024,15,238,0.535377740859985,15,238,12066.4609375,8,1.58566701412201,8,0.954616010189056,8,0.0519945845007896,8,-11.3243656158447,8,-10.962140083313,8,0.275441974401474,8,0.752821743488312,8,0.118171155452728,6239,15,238,0.157237604260445,8,-352.420654296875,8,-1.79296863079071
"590",15,245,923.02414722985,15,245,29666942,15,245,1403.44641113281,15,245,969.115966796875,15,245,22527066,15,245,0.212350845336914,15,245,8494.9033203125,9,1.58872365951538,9,0.962869107723236,9,0.0526601076126099,9,-11.120548248291,9,-11.3838396072388,9,0.271109580993652,9,0.797948896884918,9,0.13329815864563,6239,15,245,-1.46503603458405,9,-352.626159667969,9,-1.56988716125488
"591",15,252,397.900555101788,15,252,29663434,15,252,649.598815917969,15,252,450.134185791016,15,252,22531846,15,252,0.233825653791428,15,252,4261.3525390625,10,1.5908008813858,10,0.973202228546143,10,0.0540925860404968,10,-10.9225854873657,10,-11.3666210174561,10,0.27236419916153,10,0.772523105144501,10,0.132890418171883,6239,15,252,-0.917203664779663,10,-352.219482421875,10,-1.36976301670074
"592",15,259,166.693414839094,15,259,29662234,15,259,175.896209716797,15,259,136.650039672852,15,259,22533834,15,259,-0.0805755108594894,15,259,1675.24169921875,11,1.5921733379364,11,0.988087952136993,11,0.0550002120435238,11,-10.7912368774414,11,-11.772068977356,11,0.279144257307053,11,0.752032279968262,11,0.134717524051666,6239,15,259,-0.110104471445084,11,-351.725006103516,11,-1.1498316526413
"593",16,7,705.101225352631,16,7,37625504,16,7,2303.6640625,16,7,1214.41540527344,16,7,14567358,16,7,0.785918891429901,16,7,6212.9462890625,12,1.5921733379364,12,0.988087952136993,12,0.0550002120435238,12,-10.7912368774414,12,-11.772068977356,12,0.279144257307053,12,0.752032279968262,12,0.134717524051666,6239,16,7,2.03171873092651,12,-351.725006103516,12,-1.1498316526413
"594",16,14,2140.65716469388,16,14,37596248,16,14,9536.19140625,16,14,4843.55224609375,16,14,14585754,16,14,0.838669002056122,16,14,22024.46875,13,1.5921733379364,13,0.988087952136993,13,0.0550002120435238,13,-10.7912368774414,13,-11.772068977356,13,0.279144257307053,13,0.752032279968262,13,0.134717524051666,6239,16,14,0.340153783559799,13,-351.725006103516,13,-1.1498316526413
"595",16,21,6546.52744001636,16,21,37496572,16,21,29008.326171875,16,21,15722.3115234375,16,21,14655079,16,21,0.651146113872528,16,21,80203.7265625,14,1.59495651721954,14,0.979929566383362,14,0.0544472523033619,14,-10.6395444869995,14,-11.8292026519775,14,0.278986513614655,14,0.846612632274628,14,0.132339134812355,6239,16,21,-0.976957082748413,14,-352.118743896484,14,-1.31295490264893
"596",16,28,17659.549882939,16,28,37310304,16,28,46834.53125,16,28,27364.35546875,16,28,14811876,16,28,0.503203213214874,16,28,168439.0625,15,1.59495651721954,15,0.979929566383362,15,0.0544472523033619,15,-10.6395444869995,15,-11.8292026519775,15,0.278986513614655,15,0.846612632274628,15,0.132339134812355,6239,16,28,0.885726630687714,15,-352.118743896484,15,-1.31295490264893
"597",16,35,31569.1448843301,16,35,36956940,16,35,98604.6875,16,35,55508.13671875,16,35,15085328,16,35,0.562255322933197,16,35,301595.8125,16,1.59495651721954,16,0.979929566383362,16,0.0544472523033619,16,-10.6395444869995,16,-11.8292026519775,16,0.278986513614655,16,0.846612632274628,16,0.132339134812355,6239,16,35,-0.964843213558197,16,-352.118743896484,16,-1.31295490264893
"598",16,42,55310.3446319979,16,42,36359920,16,42,141725.21875,16,42,85873.96875,16,42,15608861,16,42,0.431067556142807,16,42,553898.5625,17,1.59495651721954,17,0.979929566383362,17,0.0544472523033619,17,-10.6395444869995,17,-11.8292026519775,17,0.278986513614655,17,0.846612632274628,17,0.132339134812355,6239,16,42,0.839745759963989,17,-352.118743896484,17,-1.31295490264893
"599",16,49,60185.8751737563,16,49,35753808,16,49,127684.8828125,16,49,82884.953125,16,49,16232002,16,49,0.185988277196884,16,49,620152.4375,18,1.59495651721954,18,0.979929566383362,18,0.0544472523033619,18,-10.6395444869995,18,-11.8292026519775,18,0.278986513614655,18,0.846612632274628,18,0.132339134812355,6239,16,49,-2.10419106483459,18,-352.118743896484,18,-1.31295490264893
"600",16,56,46450.2428752059,16,56,35433280,16,56,57560.015625,16,56,39993.10546875,16,56,16665545,16,56,0.0795549154281616,16,56,390651.09375,19,1.59495651721954,19,0.979929566383362,19,0.0544472523033619,19,-10.6395444869995,19,-11.8292026519775,19,0.278986513614655,19,0.846612632274628,19,0.132339134812355,6239,16,56,0.13737365603447,19,-352.118743896484,19,-1.31295490264893
"601",16,63,17874.3229715922,16,63,35271040,16,63,32640.00390625,16,63,21637.82421875,16,63,16871062,16,63,0.182132825255394,16,63,187161.53125,0,1.5732753276825,0,0.981571674346924,0,0.0502860881388187,0,-11.3889226913452,0,-10.9522132873535,0,0.249077677726746,0,0.655368387699127,0,0.137273520231247,6239,16,63,-0.874657094478607,0,-360.823455810547,0,-1.45133495330811
"602",16,70,11587.9169138857,16,70,35164188,16,70,21446.87109375,16,70,14191.1455078125,16,70,16996554,16,70,0.182922169566154,16,70,118045.3359375,1,1.58327913284302,1,0.998254776000977,1,0.0508879423141479,1,-11.2332611083984,1,-10.8377285003662,1,0.257988750934601,1,0.750979661941528,1,0.120997041463852,6239,16,70,-1.07662844657898,1,-353.619506835938,1,-0.931972503662109
"603",16,77,8922.20200569079,16,77,35103552,16,77,11791.1025390625,16,77,7836.67333984375,16,77,17073200,16,77,0.275870472192764,16,77,70292.3125,2,1.58327913284302,2,0.998254776000977,2,0.0508879423141479,2,-11.2332611083984,2,-10.8377285003662,2,0.257988750934601,2,0.750979661941528,2,0.120997041463852,6239,16,77,2.83037996292114,2,-353.619506835938,2,-0.931972503662109
"604",16,84,5813.60948040306,16,84,35053400,16,84,12135.1806640625,16,84,7257.79443359375,16,84,17123586,16,84,0.479706406593323,16,84,49806.25390625,3,1.58022522926331,3,0.979599893093109,3,0.0521773882210255,3,-11.1478052139282,3,-11.1142930984497,3,0.259267270565033,3,0.74617612361908,3,0.118252374231815,6239,16,84,-0.325679987668991,3,-355.081634521484,3,-1.30314993858337
"605",16,91,6790.52446634897,16,91,34985472,16,91,17404.908203125,16,91,10103.37109375,16,91,17183398,16,91,0.550526916980743,16,91,62658.12890625,4,1.58022522926331,4,0.979599893093109,4,0.0521773882210255,4,-11.1478052139282,4,-11.1142930984497,4,0.259267270565033,4,0.74617612361908,4,0.118252374231815,6239,16,91,-0.650230586528778,4,-355.081634521484,4,-1.30314993858337
"606",16,98,9784.87755604096,16,98,34882700,16,98,26367.412109375,16,98,15454.998046875,16,98,17271858,16,98,0.523909091949463,16,98,93810.734375,5,1.58566701412201,5,0.954616010189056,5,0.0519945845007896,5,-11.3243656158447,5,-10.962140083313,5,0.275441974401474,5,0.752821743488312,5,0.118171155452728,6239,16,98,-0.672300636768341,5,-352.420654296875,5,-1.79296863079071
