"","y.np","y.time","y.value","S.np","S.time","S.value","E.np","E.time","E.value","I.np","I.time","I.value","R.np","R.time","R.value","sigma.np","sigma.value","beta.np","beta.value","gamma.np","gamma.value","tau.np","tau.value","clock","loglikelihood.np","loglikelihood.value","logprior.np","logprior.value"
"1510",29,14,0.623117534195897,29,14,999988.5625,29,14,5.56840038299561,29,14,4.24056434631348,29,14,1.45852112770081,109,0.232352077960968,109,0.473227858543396,109,0.0708375498652458,109,0.995580494403839,11378,109,35.8695526123047,109,3.21115803718567
"1511",29,21,0.359384509881182,29,21,999957.125,29,21,20.6106834411621,29,21,15.6999473571777,29,21,5.84657335281372,110,0.229224339127541,110,0.482406675815582,110,0.0703931972384453,110,0.995298266410828,11378,110,35.936149597168,110,3.76347637176514
"1512",29,28,2.49695220981644,29,28,999840.875,29,28,76.291374206543,29,28,58.1173286437988,29,28,22.090726852417,111,0.229224339127541,111,0.482406675815582,111,0.0703931972384453,111,0.995298266410828,11378,111,35.936149597168,111,3.76347637176514
"1513",29,35,3.19994920120252,29,35,999410.5,29,35,282.296813964844,29,35,215.091201782227,29,35,82.21630859375,112,0.229224339127541,112,0.482406675815582,112,0.0703931972384453,112,0.995298266410828,11378,112,35.936149597168,112,3.76347637176514
"1514",29,42,73.5050085524686,29,42,997820.125,29,42,1043.20849609375,29,42,795.440246582031,29,42,304.655548095703,113,0.229224339127541,113,0.482406675815582,113,0.0703931972384453,113,0.995298266410828,11378,113,35.936149597168,113,3.76347637176514
"1515",29,49,87.1694907925859,29,49,991968.75,29,49,3836.5810546875,29,49,2933.33520507812,29,49,1126.10571289062,114,0.229224339127541,114,0.482406675815582,114,0.0703931972384453,114,0.995298266410828,11378,114,35.936149597168,114,3.76347637176514
"1516",29,56,415.934080400236,29,56,970794.9375,29,56,13862.8486328125,29,56,10705.380859375,29,56,4139.640625,115,0.229224339127541,115,0.482406675815582,115,0.0703931972384453,115,0.995298266410828,11378,115,35.936149597168,115,3.76347637176514
"1517",29,63,4459.79107240316,29,63,898588.4375,29,63,47037.44921875,29,63,37645.703125,29,63,14934.638671875,116,0.219878077507019,116,0.49211573600769,116,0.0706476867198944,116,0.987354040145874,11378,116,34.5701713562012,116,4.64116096496582
"1518",29,70,1391.50108580531,29,70,695940.9375,29,70,130126.921875,29,70,117222.890625,29,70,50628.37890625,117,0.219878077507019,117,0.49211573600769,117,0.0706476867198944,117,0.987354040145874,11378,117,34.5701713562012,117,4.64116096496582
"1519",29,77,25600.7151374764,29,77,353538.15625,29,77,216470.125,29,77,267327.28125,29,77,145222.171875,118,0.219878077507019,118,0.49211573600769,118,0.0706476867198944,118,0.987354040145874,11378,118,34.5701713562012,118,4.64116096496582
"1520",29,84,11625.002079585,29,84,107773.421875,29,84,170557.734375,29,84,373155.375,29,84,311142.90625,119,0.231620728969574,119,0.474823772907257,119,0.0678899511694908,119,0.970735967159271,11378,119,35.2538070678711,119,3.32515382766724
"1521",29,91,16064.5191519882,29,91,28940.80859375,29,91,76663.6171875,29,91,340193.1875,29,91,494776.09375,120,0.212704822421074,120,0.498225897550583,120,0.0661387965083122,120,0.948841869831085,11378,120,33.2583694458008,120,5.10995244979858
"1522",29,98,4236.12729444549,29,98,10098.4931640625,29,98,26980.740234375,29,98,244003.96875,29,98,641828.4375,121,0.202773198485374,121,0.494538873434067,121,0.0679872557520866,121,0.947113811969757,11378,121,31.2663593292236,121,5.19694757461548
"1523",29,105,61.8347383801664,29,105,4961.779296875,29,105,8881.7744140625,29,105,156067.28125,29,105,741079.9375,122,0.217344596982002,122,0.498313307762146,122,0.0644745975732803,122,0.956088602542877,11378,122,32.5025863647461,122,4.93675565719604
"1524",29,112,20.3451475298692,29,112,3189.39599609375,29,112,2982.97338867188,29,112,94600.8046875,29,112,802804.125,123,0.217344596982002,123,0.498313307762146,123,0.0644745975732803,123,0.956088602542877,11378,123,32.5025863647461,123,4.93675565719604
"1525",29,119,27.923889410749,29,119,2448.52099609375,29,119,1077.7685546875,29,119,55891.3828125,29,119,839725.125,124,0.213369026780128,124,0.505100905895233,124,0.0652426183223724,124,0.957480549812317,11378,124,32.2468338012695,124,5.27541351318359
"1526",29,126,5.12221551085795,29,126,2096.57299804688,29,126,432.320251464844,29,126,32611.822265625,29,126,861398.875,125,0.209343984723091,125,0.501410484313965,125,0.0665373355150223,125,0.932935416698456,11378,125,32.5617561340332,125,5.29146194458008
"1527",29,133,3.97356738752383,29,133,1915.6279296875,29,133,193.580917358398,29,133,18911.103515625,29,133,874005.1875,126,0.212214484810829,126,0.499763339757919,126,0.0686266496777534,126,0.928939878940582,11378,126,32.6105690002441,126,5.16951990127563
"1528",29,140,13.9755602267304,29,140,1818.09509277344,29,140,95.0505142211914,29,140,10932.0185546875,29,140,881303.75,127,0.231221914291382,127,0.477113515138626,127,0.0672511905431747,127,0.928831279277802,11378,127,33.9876251220703,127,3.43509531021118
"1529",29,147,3.07959147821516,29,147,1764.0390625,29,147,49.8001174926758,29,147,6309.35205078125,29,147,885519.375,128,0.239498391747475,128,0.47114634513855,128,0.0720908790826797,128,0.904437303543091,11378,128,33.5323944091797,128,2.49509906768799
"1530",29,154,1.6608138508593,29,154,1733.58850097656,29,154,27.1737384796143,29,154,3638.33569335938,29,154,887951.375,129,0.214502990245819,129,0.482722669839859,129,0.072441078722477,129,0.9381964802742,11378,129,30.6549396514893,129,4.57792568206787
"1531",29,161,0.773895378747613,29,161,1716.27233886719,29,161,15.1840181350708,29,161,2097.12963867188,29,161,889353.5,130,0.226245552301407,130,0.500154972076416,130,0.0671491771936417,130,0.964295387268066,11378,130,31.8868865966797,130,4.50530385971069
"1532",29,168,0.437973357186414,29,168,1706.37133789062,29,168,8.59924125671387,29,168,1208.48693847656,29,168,890161.5625,131,0.198861554265022,131,0.50782573223114,131,0.0636788681149483,131,0.957828402519226,11378,131,31.236852645874,131,5.56646490097046
"1533",29,175,0.32706063189357,29,175,1700.69201660156,29,175,4.90673637390137,29,175,696.306579589844,29,175,890627.1875,132,0.202537089586258,132,0.49533486366272,132,0.0707211345434189,132,0.950133562088013,11378,132,30.8816146850586,132,5.22205924987793
"1534",29,182,0.122839221664861,29,182,1697.42846679688,29,182,2.81152558326721,29,182,401.168426513672,29,182,890895.4375,133,0.231751993298531,133,0.486789762973785,133,0.0711138173937798,133,0.925221860408783,11378,133,32.7321586608887,133,3.71122550964355
"1535",29,189,0.0854309256484249,29,189,1695.55114746094,29,189,1.61475682258606,29,189,231.118606567383,29,189,891050,134,0.245951548218727,134,0.474232107400894,134,0.0683720782399178,134,0.920350909233093,11378,134,34.9261474609375,134,1.91509974002838
"1536",29,196,0.0857803893652065,29,196,1694.47045898438,29,196,0.928630650043488,29,196,133.1474609375,29,196,891139.0625,135,0.245951548218727,135,0.474232107400894,135,0.0683720782399178,135,0.920350909233093,11378,135,34.9261474609375,135,1.91509974002838
"1537",29,203,0.00714856137676059,29,203,1693.84826660156,29,203,0.534442782402039,29,203,76.7052383422852,29,203,891190.375,136,0.238692164421082,136,0.477084040641785,136,0.0664986222982407,136,0.925854802131653,11378,136,34.1257629394531,136,2.78082656860352
"1538",29,210,0.0591215073613582,29,210,1693.48986816406,29,210,0.307710438966751,29,210,44.1889724731445,29,210,891219.875,137,0.238692164421082,137,0.477084040641785,137,0.0664986222982407,137,0.925854802131653,11378,137,34.1257629394531,137,2.78082656860352
"1539",29,217,0.0273162659318593,29,217,1693.28356933594,29,217,0.17720964550972,29,217,25.4566287994385,29,217,891236.9375,138,0.238692164421082,138,0.477084040641785,138,0.0664986222982407,138,0.925854802131653,11378,138,34.1257629394531,138,2.78082656860352
"1540",29,224,0.00265871821491075,29,224,1693.16467285156,29,224,0.102068543434143,29,224,14.6651601791382,29,224,891246.75,139,0.238692164421082,139,0.477084040641785,139,0.0664986222982407,139,0.925854802131653,11378,139,34.1257629394531,139,2.78082656860352
"1541",29,231,0.000711295399521673,29,231,1693.09606933594,29,231,0.0587936639785767,29,231,8.44835376739502,29,231,891252.375,140,0.22178353369236,140,0.497275173664093,140,0.0637403130531311,140,0.932747781276703,11378,140,30.7633152008057,140,4.68940353393555
"1542",29,238,0.000451736110485033,29,238,1693.056640625,29,238,0.0338679291307926,29,238,4.86695146560669,29,238,891255.625,141,0.22178353369236,141,0.497275173664093,141,0.0637403130531311,141,0.932747781276703,11378,141,30.7633152008057,141,4.68940353393555
"1543",29,245,0.00295589187593427,29,245,1693.03393554688,29,245,0.0195100288838148,29,245,2.80376601219177,29,245,891257.5,142,0.211131945252419,142,0.495654612779617,142,0.0622035749256611,142,0.948845028877258,11378,142,29.7340774536133,142,5.07913017272949
"1544",29,252,3.85707817803596e-05,29,252,1693.02087402344,29,252,0.0112391551956534,29,252,1.6152001619339,29,252,891258.5625,143,0.240176320075989,143,0.477850407361984,143,0.0657474175095558,143,0.981334030628204,11378,143,35.2490921020508,143,2.660076379776
