"","time","t","S","E","I","R","x"
"123",123,123,16557562.3187681,57453.0682265253,93395.1476476773,35487970.4653577,-0.158031731298737
"124",124,124,16540236.4241069,52751.0528823066,85729.3538262301,35517664.1691846,-0.158576723923585
"125",125,125,16524334.5032311,48429.7185626149,78693.9429875512,35544922.8352188,-0.156544505741807
"126",126,126,16509787.6333849,44415.4269159019,72234.6035188605,35569943.3361803,-0.163434271022516
"127",127,127,16496615.6650771,40591.080115591,66286.4037808319,35592887.8510265,-0.178003157248454
"128",128,128,16484717.395432,36983.6300020625,60786.6354469525,35613893.339119,-0.183212324620127
"129",129,129,16473944.3212739,33640.3289577911,55696.6370455867,35633099.7127227,-0.189515134846519
"130",130,130,16464139.8940153,30607.3805248517,50989.3215558004,35650644.4039041,-0.182359565977975
"131",131,131,16455200.7047223,27860.3476289772,46649.9664889743,35666669.9811597,-0.186860009171223
"132",132,132,16447105.3587974,25325.3571822538,42652.144003078,35681298.1400172,-0.191813636595515
"133",133,133,16439765.4274456,23006.4352788601,38969.6313439909,35694639.5059316,-0.191814340168789
"134",134,134,16433087.8022104,20908.4240540543,35582.9871801145,35706801.7865554,-0.189818408457115
"135",135,135,16427018.7537668,19001.1591969526,32474.047442884,35717887.0395933,-0.192453405679518
"136",136,136,16421496.9104655,17274.3129198582,29622.9583892877,35727986.8182253,-0.187893524683175
"137",137,137,16416455.5263342,15721.8998762699,27013.9815262506,35737189.5922633,-0.18527117786177
"138",138,138,16411837.7798712,14334.1251224252,24631.4187797794,35745577.6762266,-0.176259391872225
"139",139,139,16407581.6284873,13107.172041591,22462.3815712282,35753229.8178999,-0.165419529453594
"140",140,140,16403634.5279852,12031.5265385902,20494.6112268736,35760220.3342493,-0.149879208538973
"141",141,141,16399968.5165918,11078.7791758165,18715.5553733007,35766618.1488591,-0.142886195701944
"142",142,142,16396565.7731388,10224.170766423,17108.8217269215,35772482.2343679,-0.132973787312969
"143",143,143,16393384.5707311,9469.98639810183,15659.7563110945,35777866.6865597,-0.116827462453056
"144",144,144,16390397.8297513,8804.36333662083,14356.1945753254,35782822.6123367,-0.105782235167507
"145",145,145,16387579.7471973,8220.41299327182,13185.465120497,35787395.3746889,-0.0865095415522399
"146",146,146,16384885.4259592,7728.19618986755,12138.2901054962,35791629.0877454,-0.0592996335682778
"147",147,147,16382294.0942031,7313.2495503545,11207.2581228877,35795566.3981236,-0.041406913331194
"148",148,148,16379809.0740439,6947.42916617316,10381.6098461611,35799242.8869437,-0.0299209793252423
"149",149,149,16377441.7732573,6604.60450229475,9648.04711703502,35802686.5751234,-0.0306178878637198
"150",150,150,16375200.2255171,6271.31883912584,8991.63446432997,35805917.8211794,-0.0311195946868512
"151",151,151,16373085.2051874,5943.4258459118,8399.36009573139,35808953.0088709,-0.0371908238331964
"152",152,152,16371109.513534,5608.29663666908,7859.00550250192,35811804.1843268,-0.053128887794483
"153",153,153,16369278.927946,5264.2424980758,7358.9530155399,35814478.8765403,-0.0667340303880858
"154",154,154,16367583.6557523,4922.43899097366,6891.01722983214,35816983.8880269,-0.0757141334644394
"155",155,155,16366015.9788298,4588.22934500724,6450.23721038485,35819326.5546148,-0.0863963001394667
"156",156,156,16364573.8965602,4260.73936355585,6032.8044880762,35821513.5595882,-0.0997345982520924
"157",157,157,16363251.575446,3942.77631110378,5635.67555065308,35823550.9726922,-0.109966815412606
"158",158,158,16362036.4755965,3641.67232540248,5257.40838817466,35825445.4436899,-0.113819937788502
"159",159,159,16360916.583842,3361.62126004448,4897.99700889544,35827204.7978891,-0.115878548954125
"160",160,160,16359891.0204556,3095.94726929657,4557.27367263099,35828836.7586025,-0.1304812180916
"161",161,161,16358959.5467326,2840.53605889913,4233.67138849513,35830347.24582,-0.14259713644274
"162",162,162,16358113.8912357,2598.83346052369,3926.15634782938,35831742.118956,-0.151889848480824
"163",163,163,16357350.9861145,2368.54667555482,3634.10459520903,35833027.3626148,-0.171133194009842
"164",164,164,16356665.9949282,2150.28978588556,3356.51078948221,35834208.2044965,-0.181745861192953
"165",165,165,16356053.4587467,1944.23570760305,3093.03520426515,35835290.2703415,-0.202760804943139
"166",166,166,16355510.386957,1749.05453130035,2842.96855769293,35836278.589954,-0.221377022364593
"167",167,167,16355031.0849124,1565.78535665266,2605.89254137562,35837178.2371896,-0.24254065907052
"168",168,168,16354611.040292,1394.22306407918,2381.48426449776,35837994.2523794,-0.265809740572818
"169",169,169,16354246.0628547,1233.93440497379,2169.44121900486,35838731.5615214,-0.293734276962696
"170",170,170,16353929.5991518,1086.75803609921,1969.56969882391,35839395.0731133,-0.310207649997865
"171",171,171,16353655.0671612,953.652730823442,1782.11822225494,35839990.1618858,-0.329903575998508
"172",172,172,16353417.3985234,834.213229144429,1607.21592741155,35840522.1723201,-0.343462690694678
"173",173,173,16353211.8741455,727.755154424665,1444.93932836222,35840996.4313718,-0.360133359092421
