"","time","value","q025","q25","q50","q75","q975","Alpha"
"165",165,-0.346182584762573,-0.346182584762573,-0.346182584762573,-0.346182584762573,-0.346182584762573,-0.346182584762573,-0.567993258
"166",166,-0.208658397197723,-0.208658397197723,-0.208658397197723,-0.208658397197723,-0.208658397197723,-0.208658397197723,-0.582174999
"167",167,-0.334082007408142,-0.334082007408142,-0.334082007408142,-0.334082007408142,-0.334082007408142,-0.334082007408142,-0.644307923
"168",168,-0.337385416030884,-0.337385416030884,-0.337385416030884,-0.337385416030884,-0.337385416030884,-0.337385416030884,-0.63257328
"169",169,-0.555860638618469,-0.555860638618469,-0.555860638618469,-0.555860638618469,-0.555860638618469,-0.555860638618469,-0.698885443
"170",170,-0.608235120773315,-0.608235120773315,-0.608235120773315,-0.608235120773315,-0.608235120773315,-0.608235120773315,-0.771589718
"171",171,-0.488833755254745,-0.488833755254745,-0.488833755254745,-0.488833755254745,-0.488833755254745,-0.488833755254745,-0.800780023
"172",172,-0.461977392435074,-0.461977392435074,-0.461977392435074,-0.461977392435074,-0.461977392435074,-0.461977392435074,-0.868744424
"173",173,-0.386539131402969,-0.386539131402969,-0.386539131402969,-0.386539131402969,-0.386539131402969,-0.386539131402969,-0.601693569
"174",174,-0.346916019916534,-0.346916019916534,-0.346916019916534,-0.346916019916534,-0.346916019916534,-0.346916019916534,-0.535419546
"175",175,-0.420305639505386,-0.420305639505386,-0.420305639505386,-0.420305639505386,-0.420305639505386,-0.420305639505386,-0.530153428
"176",176,-0.346518754959106,-0.346518754959106,-0.346518754959106,-0.346518754959106,-0.346518754959106,-0.346518754959106,-0.370901629
"177",177,-0.293685704469681,-0.293685704469681,-0.293685704469681,-0.293685704469681,-0.293685704469681,-0.293685704469681,-0.467858172
"178",178,-0.373622357845306,-0.373622357845306,-0.373622357845306,-0.373622357845306,-0.373622357845306,-0.373622357845306,-0.254748986
"179",179,-0.0653286948800087,-0.0653286948800087,-0.0653286948800087,-0.0653286948800087,-0.0653286948800087,-0.0653286948800087,-0.053906867
"180",180,0.0761720910668373,0.0761720910668373,0.0761720910668373,0.0761720910668373,0.0761720910668373,0.0761720910668373,-0.177784732
"181",181,0.175614804029465,0.175614804029465,0.175614804029465,0.175614804029465,0.175614804029465,0.175614804029465,0.011822972
"182",182,0.114747568964958,0.114747568964958,0.114747568964958,0.114747568964958,0.114747568964958,0.114747568964958,0.134088645
"183",183,0.120506621897221,0.120506621897221,0.120506621897221,0.120506621897221,0.120506621897221,0.120506621897221,-0.003478248
"184",184,-0.0107837319374084,-0.0107837319374084,-0.0107837319374084,-0.0107837319374084,-0.0107837319374084,-0.0107837319374084,0.320636227
"185",185,0.00140747393015772,0.00140747393015772,0.00140747393015772,0.00140747393015772,0.00140747393015772,0.00140747393015772,0.539105352
"186",186,0.0552234351634979,0.0552234351634979,0.0552234351634979,0.0552234351634979,0.0552234351634979,0.0552234351634979,0.398884977
"187",187,-0.0427772104740143,-0.0427772104740143,-0.0427772104740143,-0.0427772104740143,-0.0427772104740143,-0.0427772104740143,0.523245268
"188",188,-0.072931595146656,-0.072931595146656,-0.072931595146656,-0.072931595146656,-0.072931595146656,-0.072931595146656,0.377895403
"189",189,-0.162782534956932,-0.162782534956932,-0.162782534956932,-0.162782534956932,-0.162782534956932,-0.162782534956932,0.64377552
"190",190,0.205231070518494,0.205231070518494,0.205231070518494,0.205231070518494,0.205231070518494,0.205231070518494,0.607413866
"191",191,0.390703499317169,0.390703499317169,0.390703499317169,0.390703499317169,0.390703499317169,0.390703499317169,0.565556771
"192",192,0.411076188087463,0.411076188087463,0.411076188087463,0.411076188087463,0.411076188087463,0.411076188087463,0.626789471
"193",193,0.484832793474197,0.484832793474197,0.484832793474197,0.484832793474197,0.484832793474197,0.484832793474197,0.427988946
"194",194,0.29999765753746,0.29999765753746,0.29999765753746,0.29999765753746,0.29999765753746,0.29999765753746,0.413417313
"195",195,0.298182308673859,0.298182308673859,0.298182308673859,0.298182308673859,0.298182308673859,0.298182308673859,0.289216881
"196",196,0.352561175823212,0.352561175823212,0.352561175823212,0.352561175823212,0.352561175823212,0.352561175823212,0.611522699
"197",197,0.404065519571304,0.404065519571304,0.404065519571304,0.404065519571304,0.404065519571304,0.404065519571304,0.58317847
"198",198,0.487278789281845,0.487278789281845,0.487278789281845,0.487278789281845,0.487278789281845,0.487278789281845,0.712208369
"199",199,0.494015008211136,0.494015008211136,0.494015008211136,0.494015008211136,0.494015008211136,0.494015008211136,0.633218986
"200",200,0.562409222126007,0.562409222126007,0.562409222126007,0.562409222126007,0.562409222126007,0.562409222126007,0.513534891
"201",201,0.752191483974457,0.752191483974457,0.752191483974457,0.752191483974457,0.752191483974457,0.752191483974457,0.274498229
"202",202,0.800577223300934,0.800577223300934,0.800577223300934,0.800577223300934,0.800577223300934,0.800577223300934,0.40581592
"203",203,0.66288834810257,0.66288834810257,0.66288834810257,0.66288834810257,0.66288834810257,0.66288834810257,0.364213029
"204",204,0.58553808927536,0.58553808927536,0.58553808927536,0.58553808927536,0.58553808927536,0.58553808927536,0.246594134
"205",205,0.4959816634655,0.4959816634655,0.4959816634655,0.4959816634655,0.4959816634655,0.4959816634655,0.242929628
"206",206,0.393586158752441,0.393586158752441,0.393586158752441,0.393586158752441,0.393586158752441,0.393586158752441,0.29481543
"207",207,0.432779729366302,0.432779729366302,0.432779729366302,0.432779729366302,0.432779729366302,0.432779729366302,0.157748047
"208",208,0.468053787946701,0.468053787946701,0.468053787946701,0.468053787946701,0.468053787946701,0.468053787946701,0.160894095
"209",209,0.27391791343689,0.27391791343689,0.27391791343689,0.27391791343689,0.27391791343689,0.27391791343689,0.080161201
"210",210,0.422369122505188,0.422369122505188,0.422369122505188,0.422369122505188,0.422369122505188,0.422369122505188,0.025908554
"211",211,0.20199216902256,0.20199216902256,0.20199216902256,0.20199216902256,0.20199216902256,0.20199216902256,0.149935374
"212",212,0.345897972583771,0.345897972583771,0.345897972583771,0.345897972583771,0.345897972583771,0.345897972583771,0.323893662
"213",213,0.259061723947525,0.259061723947525,0.259061723947525,0.259061723947525,0.259061723947525,0.259061723947525,0.287888675
