"","np","time","value","q025","q25","q50","q75","q975","I"
"1534",41,119,2345.82592773438,1410.89833984375,1708.65307617188,1708.65307617188,2108.43530273438,2345.82592773438,2061.46049426895
"1535",41,126,268.527465820312,165.471481323242,209.870361328125,209.870361328125,232.262840270996,268.527465820312,218.203871446511
"1536",41,133,20.9671096801758,15.8705251932144,20.6777019500732,20.6777019500732,20.9671096801758,23.0871315002441,24.4770958334742
"1537",41,140,1.73406803607941,1.304851770401,1.73406803607941,1.74985659122467,1.74985659122467,1.99371707439423,2.07823171359677
"1538",41,147,0.119001254439354,0.100071541965008,0.119001254439354,0.122722461819649,0.122722461819649,0.14853099361062,0.152085601577699
"1539",41,154,0.00936022400856018,0.00695630117552355,0.00775557663291693,0.00775557663291693,0.00936022400856018,0.0110736990813166,0.0116712559530973
"1540",41,161,0.000875319878105074,0.000647578309872188,0.00078551156911999,0.00078551156911999,0.00083143862138968,0.00095018994034035,0.000914511308300978
"1541",41,168,7.5959280366078e-05,6.32037856121315e-05,7.5959280366078e-05,7.61356568546034e-05,7.61356568546034e-05,8.61127442476572e-05,0.000107427912562344
"1542",41,175,5.80347932555014e-06,5.19157129019732e-06,5.80347932555014e-06,6.65721790937823e-06,6.65721790937823e-06,7.29586296301931e-06,7.36721297900734e-06
"1543",41,182,3.50671314208739e-07,3.28201657850968e-07,3.50671314208739e-07,3.97319212197544e-07,3.97319212197544e-07,5.05899676284116e-07,4.42791135103683e-07
"1544",41,189,2.77036793505658e-08,2.16654019169482e-08,2.16654019169482e-08,2.29072147917009e-08,2.77036793505658e-08,3.18008581245976e-08,3.60544370570134e-08
"1545",41,196,2.47726061886056e-09,1.89364235403389e-09,2.19090168229741e-09,2.19090168229741e-09,2.47726061886056e-09,2.71065436763251e-09,3.29599772192444e-09
"1546",41,203,2.50623022335361e-10,1.79142548017985e-10,2.33448871345132e-10,2.33448871345132e-10,2.50623022335361e-10,3.17931875271071e-10,3.32746790384839e-10
"1547",41,210,3.20417477273072e-11,2.15010345899075e-11,2.72649888777288e-11,2.72649888777288e-11,3.20417477273072e-11,3.34636793102028e-11,3.94250361358943e-11
"1548",41,217,3.36807751827317e-12,2.53510468368502e-12,2.78474400657036e-12,2.78474400657036e-12,3.33146243881519e-12,3.89797515012308e-12,4.23349977234202e-12
"1549",41,224,2.89071799266724e-13,2.50007615521311e-13,2.50007615521311e-13,2.71198889083626e-13,2.89071799266724e-13,3.77332698100378e-13,4.28509241603862e-13
"1550",41,231,3.36794021762055e-14,2.3851808030696e-14,3.32548353817238e-14,3.52871689659161e-14,3.85236852455065e-14,3.85236852455065e-14,3.60633783694895e-14
"1551",41,238,2.24580261580108e-15,1.64494892088078e-15,2.04868682578845e-15,2.04868682578845e-15,2.24580261580108e-15,2.51367798709825e-15,2.58755213701405e-15
"1552",41,245,1.02473569502792e-16,9.54430107521245e-17,9.54430107521245e-17,1.02473569502792e-16,1.10740114759627e-16,1.56041347896874e-16,1.73599636547856e-16
"1553",41,252,7.15319902982685e-18,6.19446055208513e-18,6.50092823934e-18,6.53054688873854e-18,7.15319902982685e-18,9.92991803568783e-18,1.06553601953511e-17
"1554",41,259,6.70442604376147e-19,4.2716896717006e-19,6.53147524387976e-19,6.84487045502743e-19,6.84487045502743e-19,8.69790853377333e-19,7.77490163579213e-19
"1555",42,7,214.810775756836,165.334384918213,190.259796142578,190.259796142578,214.810775756836,223.86868019104,185.135418513833
"1556",42,14,131.532196044922,125.684555053711,131.718574523926,145.8056640625,145.8056640625,169.406101226807,159.876031637777
"1557",42,21,121.714935302734,80.4255184173584,100.296367645264,100.430435180664,107.847566604614,121.714935302734,112.071552417537
"1558",42,28,88.6318969726562,58.6603227615356,64.4902954101562,64.4902954101562,82.9147109985352,94.1463254928588,71.8167041997434
"1559",42,35,89.9471206665039,54.2763789176941,67.3892059326172,67.3892059326172,86.9157752990723,94.1965408325195,80.5260397320711
"1560",42,42,137.414947509766,80.3751560211182,100.575302124023,100.575302124023,114.988842010498,137.414947509766,73.3647165004932
"1561",42,49,151.431457519531,143.873641967773,151.887058258057,160.602447509766,161.687889099121,223.770875930786,208.152202890438
"1562",42,56,743.341491699219,725.714889526367,728.0146484375,735.678070068359,844.168823242188,1057.96459960938,720.568855983793
"1563",42,63,15329.77734375,13902.2407470703,15329.77734375,17919.353515625,17919.353515625,20120.9032226562,12533.511421602
"1564",42,70,183580.921875,174188.810546875,179597.171875,180238.65625,185776.4375,236430.027734375,205059.501433861
"1565",42,77,908120.1875,735328.5609375,908120.1875,939596.1875,939596.1875,1081270.74375,765595.970966162
