"","time","S","E","I","R"
"217",217,109002.076419438,2.80243167706749,7.39253614939567,890987.728612736
"218",218,109001.694180798,2.51999227622448,6.64751441509714,890989.138312511
"219",219,109001.350465473,2.26601825379182,5.9775741189066,890990.405942155
"220",220,109001.041390946,2.03764073628616,5.37514913255663,890991.545819185
"221",221,109000.763466,1.83227999241918,4.83343570824706,890992.5708183
"222",222,109000.513551271,1.64761629074727,4.34631567417556,890993.492516765
"223",223,109000.288823792,1.48156369442401,3.90828736526567,890994.321325149
"224",224,109000.086745107,1.3322464984041,3.51440350817156,890995.066604887
"225",225,108999.905032592,1.19797804041164,3.16021536463608,890995.736774003
"226",226,108999.741633676,1.07724164798894,2.84172250043433,890996.339402176
"227",227,108999.594702651,0.968673506183655,2.55532761375769,890996.88129623
"228",228,108999.462579828,0.87104725134196,2.29779591524493,890997.368577006
"229",229,108999.343772785,0.783260118152241,2.06621859935812,890997.806748498
"230",230,108999.236939514,0.704320482798982,1.85797999609103,890998.200760007
"231",231,108999.140873258,0.633336661378015,1.67072803257554,890998.555062049
"232",232,108999.054488879,0.569506837601643,1.50234767025523,890998.873656613
"233",233,108998.976810607,0.512110005464308,1.35093701878644,890999.160142369
"234",234,108998.906961011,0.460497824752396,1.21478585671581,890999.417755308
"235",235,108998.84415109,0.414087297545123,1.09235631621557,890999.649405297
"236",236,108998.787671362,0.372354182670322,0.982265514366713,890999.857708942
"237",237,108998.736883849,0.334827073952107,0.883269934509104,891000.045019143
"238",238,108998.691214871,0.301082075313842,0.794251381398185,891000.213451673
"239",239,108998.650148565,0.270738012472508,0.714204351789861,891000.364909071
"240",240,108998.613221058,0.243452127286393,0.64222467759031,891000.501102138
"241",241,108998.580015227,0.218916206029315,0.577499313490012,891000.623569253
"242",242,108998.550155991,0.196853097849214,0.519297153776103,891000.733693757
"243",243,108998.523306068,0.177013584151821,0.46696077450447,891000.832719573
"244",244,108998.49916217,0.15917356347516,0.419899007901588,891000.921765259
"245",245,108998.477451574,0.143131520085385,0.377580265086587,891001.001836641
"246",246,108998.457929044,0.128706247714633,0.339526531678694,891001.073838177
"247",247,108998.440374059,0.115734802690668,0.305307968545067,891001.13858317
"248",248,108998.424588324,0.104070663367663,0.274538056658107,891001.196802956
"249",249,108998.410393528,0.0935820750594953,0.246869231242179,891001.249155166
"250",250,108998.397629331,0.0841505617674896,0.221988955923354,891001.296231152
"251",251,108998.386151552,0.0756695879104012,0.199616192509393,891001.338562668
"252",252,108998.375830541,0.0680433549274604,0.179498226549635,891001.376627878
"253",253,108998.366549717,0.0611857191614078,0.161407812820463,891001.410856752
"254",254,108998.358204244,0.0550192188062282,0.145140608481539,891001.441635929
"255",255,108998.350699856,0.049474198919075,0.13051286492675,891001.46931308
"256",256,108998.343951785,0.0444880246170876,0.117359352252068,891001.494200838
"257",257,108998.337883808,0.0400043735729813,0.105531492894812,891001.516580326
"258",258,108998.332427381,0.0359725998129986,0.0948956833717545,891001.536704336
