S.R deSolve,S.libbi value,E.R deSolve,E.libbi value,I.R deSolve,I.libbi value,R.R deSolve,R.libbi value
1881041.548,1437359.869,201.9586769,45.10131865,5388.03899,2798.430193,50309749.45,50756177.6
1881004.91,1437351.59,179.291185,40.13669585,4815.552951,2490.468536,50310381.25,50756498.81
1880974.836,1437344.221,157.0625816,35.71868467,4303.465774,2216.397224,50310945.64,50756784.66
1880950.193,1437337.664,136.1721937,31.78707672,3845.099942,1972.486762,50311449.53,50757039.06
1880929.073,1437331.828,117.7996402,28.28830103,3434.835038,1755.418059,50311899.29,50757265.47
1880912.072,1437326.635,100.9099039,25.17469114,3067.501133,1562.237274,50312300.52,50757466.95
1880895.647,1437322.013,87.99621181,22.40383335,2738.894199,1390.315618,50312658.46,50757646.27
1880881.195,1437317.9,76.86126566,19.93798712,2445.120786,1237.313587,50312977.82,50757805.85
1880867.779,1437314.239,67.83734858,17.74356963,2182.615789,1101.149129,50313262.77,50757947.87
1880854.67,1437310.982,60.94881656,15.79069725,1948.274517,979.9693149,50313517.11,50758074.26
1880842.544,1437308.082,55.02238221,14.05277776,1739.216948,872.1251207,50313744.22,50758186.74
1880832.337,1437305.502,49.07110551,12.50614753,1552.616972,776.148993,50313946.97,50758286.84
1880822.688,1437303.206,44.23000622,11.12974879,1386.077508,690.7348774,50314128,50758375.93
1880813.637,1437301.163,40.16794056,9.904842487,1237.509439,614.7204468,50314289.69,50758455.21
1880805.268,1437299.344,36.60049354,8.814752861,1105.00518,547.0712849,50314434.13,50758525.77
1880797.78,1437297.726,33.23007511,7.844640139,986.8087088,486.8668099,50314563.18,50758588.56
1880791.07,1437296.286,30.10061988,6.981298323,881.3417641,433.2877478,50314678.49,50758644.45
1880784.881,1437295.004,27.35894234,6.21297525,787.2334029,385.6049837,50314781.53,50758694.18
1880779.34,1437293.863,24.78057312,5.529212499,703.2598727,343.1696401,50314873.62,50758738.44
1880774.913,1437292.848,21.9309515,4.92070292,628.2567885,305.4042473,50314955.9,50758777.83
1880771.53,1437291.944,18.97024227,4.379163879,561.156825,271.7948844,50315029.34,50758812.88
1880768.398,1437291.14,16.5780482,3.89722445,501.1375987,241.8841871,50315094.89,50758844.08
1880765.719,1437290.425,14.44131849,3.468325042,447.4664457,215.2651226,50315153.37,50758871.84
1880763.353,1437289.788,12.60199374,3.08662808,399.4869048,191.5754518,50315205.56,50758896.55
1880761.473,1437289.221,10.8393752,2.746938518,356.5833007,170.492799,50315252.1,50758918.54
1880759.931,1437288.717,9.261819226,2.444633106,318.2081728,151.7302657,50315293.6,50758938.11
1880758.614,1437288.268,7.911881151,2.175597453,283.8919338,135.0325259,50315330.58,50758955.52
1880757.525,1437287.869,6.727254837,1.936170008,253.2120123,120.1723518,50315363.54,50758971.02
1880756.621,1437287.513,5.703187014,1.723092216,225.7879189,106.9475219,50315392.89,50758984.82
1880755.837,1437287.197,4.849500827,1.533464162,201.2842692,95.17806856,50315419.03,50758997.09
1880755.167,1437286.915,4.125493056,1.364705093,179.40018,84.70382959,50315442.31,50759008.02
1880754.636,1437286.665,3.475671648,1.214518289,159.8578086,75.38226827,50315463.03,50759017.74
1880754.223,1437286.442,2.899896022,1.080859802,142.4062394,67.08653386,50315481.47,50759026.39
1880753.883,1437286.243,2.415391682,0.961910635,126.8252343,59.7037354,50315497.88,50759034.09
1880753.584,1437286.066,2.025592281,0.856051984,112.9214777,53.1334054,50315512.47,50759040.94
1880753.311,1437285.909,1.718322215,0.761843201,100.5223093,47.2861327,50315525.45,50759047.04
1880753.06,1437285.769,1.47424058,0.678002189,89.47208791,42.0823457,50315536.99,50759052.47
1880752.847,1437285.645,1.262187432,0.603387955,79.62639636,37.45122958,50315547.26,50759057.3
1880752.655,1437285.534,1.089692939,0.536985071,70.8564321,33.32976257,50315556.4,50759061.6
1880752.485,1437285.436,0.943620878,0.477889867,63.04711627,29.6618584,50315564.52,50759065.42
1880752.344,1437285.348,0.811800453,0.425298119,56.09296665,26.397603,50315571.75,50759068.83
1880752.21,1437285.27,0.710155534,0.378494115,49.90227176,23.49257529,50315578.18,50759071.86
1880752.082,1437285.2,0.629782311,0.336840907,44.39347892,20.90724268,50315583.89,50759074.56
1880751.959,1437285.138,0.566910874,0.299771643,39.49349468,18.60642307,50315588.98,50759076.96
1880751.85,1437285.083,0.508941389,0.266781858,35.13549692,16.55880614,50315593.51,50759079.09
1880751.758,1437285.034,0.45149984,0.237422601,31.25870845,14.73652722,50315597.53,50759080.99
1880751.682,1437284.991,0.396072053,0.21129433,27.80882377,13.11478812,50315601.11,50759082.68
1880751.612,1437284.952,0.349473552,0.188041474,24.73901579,11.67151964,50315604.3,50759084.19
1880751.554,1437284.917,0.306377226,0.167347593,22.00730266,10.3870813,50315607.13,50759085.53
1880751.5,1437284.887,0.27005964,0.148931069,19.57654869,9.243994018,50315609.65,50759086.72
1880751.452,1437284.859,0.2397324,0.13254128,17.41409826,8.22670226,50315611.89,50759087.78
1880751.41,1437284.835,0.211073782,0.117955183,15.49021199,7.321362369,50315613.89,50759088.73
1880751.374,1437284.813,0.185995345,0.104974281,13.77849898,6.515654164,50315615.66,50759089.57
1880751.341,1437284.794,0.164667323,0.093421923,12.25566462,5.798613287,50315617.24,50759090.31
1880751.309,1437284.777,0.14735153,0.083140897,10.90122094,5.160481995,50315618.64,50759090.98
1880751.283,1437284.762,0.130658475,0.073991294,9.696506533,4.592576373,50315619.89,50759091.57
