"","time","x","S","E","I","R","Z"
"111",111,-3.23137312708423,51514893.1305079,0.00367556663126129,0.161265772415408,4462041.81533112,112.818250947366
"112",112,-3.23137312708423,51514893.1298186,0.00336770791608082,0.147758447191455,4462041.82849221,112.818954826051
"113",113,-3.23137312708423,51514893.1291871,0.00308563488154516,0.135382470746823,4462041.84055094,112.819599749149
"114",114,-3.23137312708423,51514893.1286084,0.00282718776646653,0.124043083383316,4462041.85159967,112.820190654672
"115",115,-3.23137312708423,51514893.1280782,0.00259038770726628,0.113653462301234,4462041.86172297,112.820732067033
"116",116,-3.23137312708423,51514893.1275924,0.00237342158632863,0.104134056819308,4462041.87099836,112.821228131688
"117",117,-3.23137312708423,51514893.1271473,0.00217462814942743,0.0954119792753997,4462041.87949686,112.821682646877
"118",118,-3.23137312708423,51514893.1267395,0.00199248528593065,0.0874204469442377,4462041.88728354,112.822099092709
"119",119,-3.23137312708423,51514893.1263658,0.00182559837439091,0.0800982706991039,4462041.89441803,112.822480657801
"120",120,-3.23137312708423,51514893.1260234,0.00167268960428736,0.0733893865022781,4462041.90095494,112.822830263702
"121",121,-3.23137312708423,51514893.1257097,0.00153258819215837,0.0672424261369853,4462041.90694433,112.823150587254
"122",122,-3.23137312708423,51514893.1254223,0.00140422141721271,0.0616103238940468,4462041.91243207,112.823444081093
"123",123,-3.23137312708423,51514893.125159,0.00128660640778111,0.0564499562017368,4462041.91746016,112.823712992426
"124",124,-3.23137312708423,51514893.1249177,0.00117884261571943,0.0517218114395812,4462041.9220671,112.82395938024
"125",125,-3.23137312708423,51514893.1246966,0.00108010492114185,0.0473896874079466,4462041.92628818,112.824185131062
"126",126,-3.23137312708423,51514893.1244941,0.000989637314688729,0.0434204141370222,4462041.93015571,112.82439197341
"127",127,-3.23137312708423,51514893.1243085,0.000906747108956138,0.0397835999128128,4462041.9336993,112.824581491022
"128",128,-3.23137312708423,51514893.1241384,0.000830799634765276,0.0364513985755283,4462041.93694609,112.824755134987
"129",129,-3.23137312708423,51514893.1239826,0.000761213381662596,0.0333982963086341,4462041.93992093,112.824914234851
"130",130,-3.23137312708423,51514893.1238399,0.000697455545442666,0.0306009162860582,4462041.9426466,112.825060008803
"131",131,-3.23137312708423,51514893.1237091,0.000639037948562497,0.0280378396800438,4462041.94514398,112.825193572997
"132",132,-3.23137312708423,51514893.1235892,0.000585513305820915,0.0256894418175345,4462041.94743218,112.825315950091
"133",133,-3.23137312708423,51514893.1234794,0.000536471790602234,0.0235377415238427,4462041.94952873,112.8254280771
"134",134,-3.23137312708423,51514893.1233788,0.000491537902353381,0.0215662636829611,4462041.95144967,112.825530812557
"135",135,-3.23137312708423,51514893.1232866,0.000450367593748019,0.0197599131916617,4462041.95320972,112.825624943082
"136",136,-3.23137312708423,51514893.1232022,0.000412645634293983,0.0181048592875648,4462041.95482234,112.825711189408
"137",137,-3.23137312708423,51514893.1231248,0.000378083196621564,0.0165884296473476,4462041.9562999,112.8257902119
"138",138,-3.23137312708423,51514893.1230539,0.000346415645018691,0.0151990133585522,4462041.95765371,112.825862615614
"139",139,-3.23137312708423,51514893.1229889,0.000317400509162778,0.013925972016911,4462041.95889411,112.825928954927
"140",140,-3.23137312708423,51514893.1229294,0.00029081562760032,0.01275955827137,4462041.96003063,112.825989737781
"141",141,-3.23137312708423,51514893.1228749,0.000266457446711707,0.0116908411910355,4462041.96107195,112.826045429575
"142",142,-3.23137312708423,51514893.1228249,0.000244139462153134,0.0107116378833177,4462041.96202605,112.826096456727
"143",143,-3.23137312708423,51514893.1227791,0.000223690790840897,0.00981445083962916,4462041.96290024,112.826143209939
"144",144,-3.23137312708423,51514893.1227372,0.000204954862543347,0.0089924105288802,4462041.96370121,112.826186047188
"145",145,-3.23137312708423,51514893.1226987,0.000187788221062813,0.00823922279924237,4462041.96443509,112.826225296468
"146",146,-3.23137312708423,51514893.1226635,0.000172059425828291,0.00754912068544196,4462041.9651075,112.826261258301
"147",147,-3.23137312708423,51514893.1226312,0.000157648045488706,0.006916820252586,4462041.9657236,112.826294208037
"148",148,-3.23137312708423,51514893.1226017,0.000144443735800944,0.00633748013842795,4462041.96628809,112.826324397964
"149",149,-3.23137312708423,51514893.1225746,0.000132345394752287,0.00580666448429866,4462041.9668053,112.826352059238
"150",150,-3.23137312708423,51514893.1225498,0.000121260388448233,0.00532030897087422,4462041.96727919,112.826377403655
"151",151,-3.23137312708423,51514893.122527,0.00011110384183852,0.00487468969872531,4462041.96771338,112.82640062527
"152",152,-3.23137312708423,51514893.1225062,0.000101797988850643,0.00446639467537427,4462041.96811121,112.826421901885
"153",153,-3.23137312708423,51514893.1224871,9.32715769549753e-05,0.00409229769054389,4462041.96847572,112.826441396411
"154",154,-3.23137312708423,51514893.1224696,8.54593216024275e-05,0.003749534379567,4462041.9688097,112.826459258111
"155",155,-3.23137312708423,51514893.1224536,7.83014063573981e-05,0.00343548029168093,4462041.9691157,112.826475623747
"156",156,-3.23137312708423,51514893.1224389,7.17430248986678e-05,0.00314773079528104,4462041.96939607,112.826490618629
"157",157,-3.23137312708423,51514893.1224254,6.57339613814543e-05,0.00288408266627333,4462041.96965296,112.826504357566
"158",158,-3.23137312708423,51514893.1224131,6.0228205947568e-05,0.00264251721855256,4462041.96988833,112.826516945756
"159",159,-3.23137312708423,51514893.1224018,5.51836024397286e-05,0.00242118484744048,4462041.97010399,112.826528479582
"160",160,-3.23137312708423,51514893.1223915,5.056152562268e-05,0.00221839086773723,4462041.97030159,112.826539047356
"161",161,-3.23137312708423,51514893.122382,4.6326585439671e-05,0.00203258253795135,4462041.97048264,112.826548729993
"162",162,-3.23137312708423,51514893.1223733,4.24463560398673e-05,0.00186233717135646,4462041.97064852,112.82655760163
"163",163,-3.23137312708423,51514893.1223653,3.88911275019276e-05,0.00170635124284384,4462041.97080051,112.826565730195
"164",164,-3.23137312708423,51514893.122358,3.56336783527562e-05,0.00156343040816502,4462041.97093976,112.826573177926
"165",165,-3.23137312708423,51514893.1223514,3.26490671396646e-05,0.00143248035914417,4462041.97106736,112.826580001849
"166",166,-3.23137312708423,51514893.1223452,2.99144414599528e-05,0.00131249844483609,4462041.97118426,112.826586254213
"167",167,-3.23137312708423,51514893.1223396,2.74088621993192e-05,0.00120256595997286,4462041.97129138,112.826591982892
"168",168,-3.23137312708423,51514893.1223345,2.5113143082685e-05,0.00110184110524371,4462041.97138952,112.826597231754
"169",169,-3.23137312708423,51514893.1223298,2.30097090961915e-05,0.00100955277554918,4462041.97147944,112.82660204098
"170",170,-3.23137312708423,51514893.1223255,2.10824551857898e-05,0.000924994360390739,4462041.97156183,112.826606447394
"171",171,-3.23137312708423,51514893.1223215,1.93166247617491e-05,0.000847518413246677,4462041.97163732,112.826610484734
"172",172,-3.23137312708423,51514893.1223179,1.7698697278299e-05,0.000776531719120121,4462041.97170649,112.826614183914
"173",173,-3.23137312708423,51514893.1223146,1.62162846368745e-05,0.000711490749223398,4462041.97176986,112.826617573257
"174",174,-3.23137312708423,51514893.1223115,1.48580363451388e-05,0.000651897499822753,4462041.97182793,112.826620678714
"175",175,-3.23137312708423,51514893.1223087,1.36135526094376e-05,0.000597295679163047,4462041.97188113,112.826623524063
"176",176,-3.23137312708423,51514893.1223062,1.24733047049369e-05,0.000547267213701353,4462041.97192988,112.826626131091
"177",177,-3.23137312708423,51514893.1223039,1.14285620165252e-05,0.000501429047020874,4462041.97197454,112.826628519758
"178",178,-3.23137312708423,51514893.1223017,1.04713251904983e-05,0.000459430206855902,4462041.97201546,112.826630708355
"179",179,-3.23137312708423,51514893.1222997,9.59426488534748e-06,0.000420949117777914,4462041.97205296,112.826632713638
"180",180,-3.23137312708423,51514893.1222979,8.79066565268537e-06,0.000385691138966796,4462041.97208731,112.826634550963
"181",181,-3.23137312708423,51514893.1222963,8.05437451860638e-06,0.000353386308214065,4462041.97211879,112.826636234396
"182",182,-3.23137312708423,51514893.1222948,7.37975387178544e-06,0.000323787274884521,4462041.97214763,112.826637776828
"183",183,-3.23137312708423,51514893.1222934,6.76163829758882e-06,0.000296667406009511,4462041.97217405,112.826639190069
"184",184,-3.23137312708423,51514893.1222921,6.19529502768617e-06,0.000271819051010579,4462041.97219827,112.826640484938
"185",185,-3.23137312708423,51514893.122291,5.67638770233538e-06,0.0002490519517669,4462041.97222045,112.826641671352
"186",186,-3.23137312708423,51514893.1222899,5.20094316787664e-06,0.000228191785852743,4462041.97224078,112.826642758394
"187",187,-3.23137312708423,51514893.1222889,4.76532105521156e-06,0.000209078831790889,4462041.9722594,112.826643754387
"188",188,-3.23137312708423,51514893.122288,4.366185906337e-06,0.000191566746102125,4462041.97227646,112.826644666957
"189",189,-3.23137312708423,51514893.1222872,4.00048163551272e-06,0.000175521442786994,4462041.9722921,112.826645503092
"190",190,-3.23137312708423,51514893.1222865,3.66540812951799e-06,0.000160820066660234,4462041.97230642,112.826646269194
"191",191,-3.23137312708423,51514893.1222858,3.35839980319389e-06,0.000147350052473529,4462041.97231954,112.826646971128
"192",192,-3.23137312708423,51514893.1222852,3.07711075477388e-06,0.000135008473604483,4462041.97233157,112.826647614259
"193",193,-3.23137312708423,51514893.1222846,2.81938448219645e-06,0.000123700713357486,4462041.97234259,112.826648203516
"194",194,-3.23137312708423,51514893.1222841,2.5832443040498e-06,0.00011334004468191,4462041.97235268,112.82664874342
"195",195,-3.23137312708423,51514893.1222836,2.36688224206396e-06,0.000103847142390596,4462041.97236193,112.826649238103
